City/Town,Ward,Pct,"Walter F. Timilty, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Avon,-,1,"1,998",6,719,"2,723"
Braintree,-,1A,"1,263",17,599,"1,879"
Braintree,-,1B,"1,194",24,549,"1,767"
Braintree,-,2A,"1,361",21,528,"1,910"
Braintree,-,2B,"1,240",26,615,"1,881"
Canton,-,1,"1,673",16,542,"2,231"
Canton,-,2,"1,805",16,666,"2,487"
Canton,-,3,"1,738",3,623,"2,364"
Canton,-,4,"1,915",4,850,"2,769"
Canton,-,5,"1,772",18,655,"2,445"
Canton,-,6,"1,650",8,617,"2,275"
"E. Bridgewater",-,4,"1,332",11,783,"2,126"
Easton,-,3,"1,681",18,697,"2,396"
Easton,-,4,"1,725",18,848,"2,591"
Easton,-,5,"1,984",19,928,"2,931"
Easton,-,6,"1,721",22,826,"2,569"
Milton,-,1,"1,483",16,306,"1,805"
Milton,-,2,"1,373",20,458,"1,851"
Milton,-,3,"1,416",18,506,"1,940"
Milton,-,4,"1,424",30,398,"1,852"
Milton,-,5,"1,091",20,421,"1,532"
Milton,-,6,"1,455",16,445,"1,916"
Milton,-,7,"1,284",15,390,"1,689"
Milton,-,8,"1,527",32,362,"1,921"
Milton,-,9,"1,459",22,525,"2,006"
Milton,-,10,"1,013",13,246,"1,272"
Randolph,-,1,"1,144",14,269,"1,427"
Randolph,-,2,"1,039",11,208,"1,258"
Randolph,-,3,"1,203",16,249,"1,468"
Randolph,-,4,"1,240",8,273,"1,521"
Randolph,-,5,"1,136",14,299,"1,449"
Randolph,-,6,994,10,258,"1,262"
Randolph,-,7,"1,142",14,296,"1,452"
Randolph,-,8,"1,161",13,269,"1,443"
Randolph,-,9,"1,191",12,232,"1,435"
Randolph,-,10,"1,217",22,263,"1,502"
Randolph,-,11,"1,271",9,354,"1,634"
Randolph,-,12,"1,316",15,383,"1,714"
Sharon,-,2,"1,604",7,640,"2,251"
Sharon,-,3,"1,679",12,701,"2,392"
Stoughton,-,1,"1,614",4,531,"2,149"
Stoughton,-,2,"1,395",2,510,"1,907"
Stoughton,-,3,"1,516",5,502,"2,023"
Stoughton,-,4,"1,539",9,746,"2,294"
Stoughton,-,5,"1,257",7,464,"1,728"
Stoughton,-,6,"1,722",8,660,"2,390"
Stoughton,-,7,"1,355",4,384,"1,743"
Stoughton,-,8,"1,164",5,360,"1,529"
"W. Bridgewater",-,1,"1,575",20,814,"2,409"
"W. Bridgewater",-,2,"1,479",17,760,"2,256"
TOTALS,,,"71,530",707,"25,527","97,764"
