City/Town,Ward,Pct,"John F. Keenan","Alexander N. Mendez","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Abington,-,1,"1,069",583,7,201,"1,860"
Abington,-,2,"1,017",601,4,228,"1,850"
Abington,-,3,"1,035",581,2,235,"1,853"
Abington,-,4,"1,192",621,4,271,"2,088"
Abington,-,5,"1,199",633,3,249,"2,084"
Braintree,-,3A,961,433,3,184,"1,581"
Braintree,-,3B,"1,031",468,2,204,"1,705"
Braintree,-,4A,974,432,1,207,"1,614"
Braintree,-,4B,"1,078",428,6,197,"1,709"
Braintree,-,5A,"1,005",501,3,237,"1,746"
Braintree,-,5B,"1,250",542,4,273,"2,069"
Braintree,-,6A,"1,271",547,6,278,"2,102"
Braintree,-,6B,"1,230",479,7,274,"1,990"
Holbrook,-,1,971,392,5,191,"1,559"
Holbrook,-,2,940,473,0,218,"1,631"
Holbrook,-,3,977,402,1,180,"1,560"
Holbrook,-,4,952,372,1,183,"1,508"
Quincy,1,1,915,448,3,157,"1,523"
Quincy,1,2,772,309,4,166,"1,251"
Quincy,1,3,"1,027",424,11,152,"1,614"
Quincy,1,4,"1,131",613,9,189,"1,942"
Quincy,1,5,"1,168",669,5,177,"2,019"
Quincy,2,1,981,467,4,136,"1,588"
Quincy,2,2,932,358,5,126,"1,421"
Quincy,2,3,456,173,2,63,694
Quincy,2,3A,167,49,0,28,244
Quincy,2,4,845,310,4,153,"1,312"
Quincy,2,5,"1,052",425,3,153,"1,633"
Quincy,3,1,"1,254",485,5,191,"1,935"
Quincy,3,2,"1,013",323,6,134,"1,476"
Quincy,3,3,727,235,1,114,"1,077"
Quincy,3,4,"1,031",406,4,148,"1,589"
Quincy,3,5,519,114,0,60,693
Quincy,4,1,"1,168",474,7,193,"1,842"
Quincy,4,2,"1,113",501,2,181,"1,797"
Quincy,4,3,"1,309",545,10,225,"2,089"
Quincy,4,4,841,337,4,119,"1,301"
Quincy,4,5,980,419,5,122,"1,526"
Quincy,5,1,"1,063",450,0,191,"1,704"
Quincy,5,2,910,338,3,149,"1,400"
Quincy,5,3,"1,082",404,8,182,"1,676"
Quincy,5,4,808,364,2,135,"1,309"
Quincy,5,5,943,440,7,153,"1,543"
Quincy,6,1,914,348,4,136,"1,402"
Quincy,6,2,694,243,10,135,"1,082"
Quincy,6,3,"1,234",558,4,273,"2,069"
Quincy,6,4,872,296,4,124,"1,296"
Quincy,6,5,"1,350",566,11,215,"2,142"
Rockland,-,1,"1,150",505,7,194,"1,856"
Rockland,-,2,"1,110",517,5,233,"1,865"
Rockland,-,3,792,398,5,157,"1,352"
Rockland,-,4,900,443,8,180,"1,531"
Rockland,-,5,937,526,10,172,"1,645"
Rockland,-,6,"1,073",501,5,214,"1,793"
TOTALS,,,"53,385","23,469",246,"9,640","86,740"
