City/Town,Ward,Pct,"Michael F. Rush","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,18,9,918,12,248,"1,178"
Boston,18,10,"1,378",22,403,"1,803"
Boston,18,16,"1,004",26,319,"1,349"
Boston,18,17,990,19,202,"1,211"
Boston,18,18,"1,177",24,301,"1,502"
Boston,18,19,"1,614",22,377,"2,013"
Boston,18,20,"1,308",19,309,"1,636"
Boston,18,23,872,15,128,"1,015"
Boston,19,10,"1,106",8,281,"1,395"
Boston,19,11,978,11,179,"1,168"
Boston,19,12,750,12,223,985
Boston,19,13,688,21,145,854
Boston,20,1,961,16,303,"1,280"
Boston,20,2,"1,048",21,278,"1,347"
Boston,20,3,"1,012",24,305,"1,341"
Boston,20,4,817,16,292,"1,125"
Boston,20,5,"1,020",18,317,"1,355"
Boston,20,6,"1,101",26,322,"1,449"
Boston,20,7,692,11,191,894
Boston,20,8,767,16,223,"1,006"
Boston,20,9,851,9,255,"1,115"
Boston,20,10,"1,256",17,378,"1,651"
Boston,20,11,582,15,153,750
Boston,20,12,708,16,223,947
Boston,20,13,679,11,167,857
Boston,20,14,662,17,182,861
Boston,20,15,"1,136",24,339,"1,499"
Boston,20,16,"1,205",26,342,"1,573"
Boston,20,17,"1,297",24,422,"1,743"
Boston,20,18,651,23,183,857
Boston,20,19,682,14,229,925
Boston,20,20,"1,135",30,324,"1,489"
Dedham,-,1,"1,520",5,795,"2,320"
Dedham,-,2,"1,629",22,633,"2,284"
Dedham,-,3,"1,577",27,488,"2,092"
Dedham,-,4,"1,523",20,658,"2,201"
Dedham,-,5,"1,695",14,676,"2,385"
Dedham,-,6,"1,715",20,708,"2,443"
Dedham,-,7,"1,554",19,683,"2,256"
Dover,-,1,"2,680",60,"1,324","4,064"
Needham,-,D,"1,394",24,595,"2,013"
Needham,-,E,"1,491",28,593,"2,112"
Needham,-,F,"1,398",18,535,"1,951"
Needham,-,G,"1,366",22,576,"1,964"
Needham,-,H,"1,547",33,589,"2,169"
Norwood,-,1,"1,595",19,619,"2,233"
Norwood,-,2,"1,408",13,503,"1,924"
Norwood,-,3,"1,442",16,546,"2,004"
Norwood,-,4,"1,416",20,706,"2,142"
Norwood,-,5,"1,172",12,371,"1,555"
Norwood,-,6,"1,094",17,409,"1,520"
Norwood,-,7,"1,461",25,548,"2,034"
Norwood,-,8,"1,433",22,596,"2,051"
Norwood,-,9,"1,455",20,604,"2,079"
Westwood,-,1,"1,732",9,903,"2,644"
Westwood,-,2,"1,792",21,933,"2,746"
Westwood,-,3,"1,731",10,863,"2,604"
Westwood,-,4,"1,730",12,903,"2,645"
TOTALS,,,"71,595","1,113","25,900","98,608"
