City/Town,Ward,Pct,"Patrick Michael O'Connor","Meg Wheeler","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Cohasset,-,1,"1,194","1,399",1,137,"2,731"
Cohasset,-,2,"1,323","1,553",3,117,"2,996"
Duxbury,-,1,"1,130",907,0,106,"2,143"
Duxbury,-,2,"1,070",786,1,108,"1,965"
Duxbury,-,3,982,823,2,75,"1,882"
Duxbury,-,4,927,776,2,97,"1,802"
Duxbury,-,5,970,754,1,94,"1,819"
Duxbury,-,6,874,713,2,99,"1,688"
Hingham,-,1,"1,310","1,301",2,143,"2,756"
Hingham,-,2,"1,362","1,352",0,128,"2,842"
Hingham,-,3,"1,332","1,301",1,148,"2,782"
Hingham,-,4,"1,264","1,113",1,133,"2,511"
Hingham,-,5,"1,065",719,1,91,"1,876"
Hingham,-,5A,468,587,0,84,"1,139"
Hingham,-,6,"1,270","1,099",0,111,"2,480"
Hull,-,1,"1,052","1,223",4,110,"2,389"
Hull,-,2,"1,075",971,0,134,"2,180"
Hull,-,3,"1,198","1,250",2,116,"2,566"
Marshfield,-,1,"1,378","1,044",0,120,"2,542"
Marshfield,-,2,"1,398",969,0,128,"2,495"
Marshfield,-,3,"1,381",942,0,103,"2,426"
Marshfield,-,4,"1,363","1,023",0,87,"2,473"
Marshfield,-,5,"1,264",907,0,101,"2,272"
Marshfield,-,6,"1,600","1,088",0,127,"2,815"
Marshfield,-,7,"1,504","1,031",0,102,"2,637"
Norwell,-,1,"1,281","1,005",3,123,"2,412"
Norwell,-,2,"1,409","1,070",2,106,"2,587"
Norwell,-,3,"1,248","1,097",3,99,"2,447"
Scituate,-,1,"1,176","1,074",0,116,"2,366"
Scituate,-,2,"1,162","1,002",1,90,"2,255"
Scituate,-,3,"1,053","1,148",4,86,"2,291"
Scituate,-,4,"1,187","1,031",1,87,"2,306"
Scituate,-,5,"1,022","1,072",0,100,"2,194"
Scituate,-,6,"1,148","1,004",1,100,"2,253"
Weymouth,-,1,970,713,1,71,"1,755"
Weymouth,-,2,"1,142",746,1,83,"1,972"
Weymouth,-,3,"1,254",610,7,81,"1,952"
Weymouth,-,4,"1,042",645,2,67,"1,756"
Weymouth,-,5,696,701,1,58,"1,456"
Weymouth,-,6,"1,162",676,1,84,"1,923"
Weymouth,-,7,913,750,2,71,"1,736"
Weymouth,-,8,904,781,2,72,"1,759"
Weymouth,-,9,"1,190",687,1,89,"1,967"
Weymouth,-,10,722,615,0,58,"1,395"
Weymouth,-,11,"1,031",699,1,71,"1,802"
Weymouth,-,12,"1,153",649,2,96,"1,900"
Weymouth,-,13,707,703,3,68,"1,481"
Weymouth,-,14,842,724,0,63,"1,629"
Weymouth,-,15,"1,211",755,1,70,"2,037"
Weymouth,-,16,"1,148",753,1,113,"2,015"
Weymouth,-,17,810,676,3,49,"1,538"
Weymouth,-,18,"1,628","1,219",4,121,"2,972"
TOTALS,,,"58,965","48,236",71,"5,091","112,363"
