City/Town,Ward,Pct,"John J. Cronin","Dean Tran","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Berlin,-,1,"1,142","1,040",3,90,"2,275"
Bolton,-,1,"2,151","1,487",0,175,"3,813"
Clinton,-,1,"1,100",903,0,74,"2,077"
Clinton,-,2,"1,056",749,4,79,"1,888"
Fitchburg,1,A,570,518,5,24,"1,117"
Fitchburg,1,B,711,589,2,33,"1,335"
Fitchburg,2,A,572,463,0,30,"1,065"
Fitchburg,2,B,736,767,0,46,"1,549"
Fitchburg,3,A,959,"1,046",3,59,"2,067"
Fitchburg,3,B,785,817,3,43,"1,648"
Fitchburg,4,A,327,341,0,26,694
Fitchburg,4,B,641,493,0,34,"1,168"
Fitchburg,5,A,948,"1,064",2,56,"2,070"
Fitchburg,5,B,486,374,0,31,891
Fitchburg,6,A,848,902,0,59,"1,809"
Fitchburg,6,B,669,499,0,33,"1,201"
Gardner,1,A,559,561,0,58,"1,178"
Gardner,1,B,177,303,0,15,495
Gardner,2,A,483,518,7,31,"1,039"
Gardner,2,B,513,655,2,35,"1,205"
Gardner,3,A,417,414,0,41,872
Gardner,3,B,529,489,2,37,"1,057"
Gardner,4,A,506,422,2,35,965
Gardner,4,B,327,354,1,21,703
Gardner,5,A,409,420,4,25,858
Gardner,5,B,538,568,1,38,"1,145"
Lancaster,-,1,"1,020",989,1,92,"2,102"
Lancaster,-,2,"1,128","1,052",1,101,"2,282"
Leominster,1,A,901,799,0,53,"1,753"
Leominster,1,B,877,733,1,48,"1,659"
Leominster,1,C,718,576,2,47,"1,343"
Leominster,2,A,605,450,3,41,"1,099"
Leominster,2,B,670,647,0,39,"1,356"
Leominster,2,C,423,381,1,30,835
Leominster,3,A,583,520,2,25,"1,130"
Leominster,3,B,889,829,0,67,"1,785"
Leominster,3,C,954,911,1,59,"1,925"
Leominster,4,A,825,890,0,40,"1,755"
Leominster,4,B,829,841,2,44,"1,716"
Leominster,4,C,693,551,0,40,"1,284"
Leominster,5,A,704,572,1,55,"1,332"
Leominster,5,B,860,676,0,39,"1,575"
Leominster,5,C,611,473,2,41,"1,127"
Lunenburg,-,A,962,806,3,52,"1,823"
Lunenburg,-,B,888,742,1,51,"1,682"
Lunenburg,-,C,"1,003",923,11,53,"1,990"
Lunenburg,-,D,941,742,5,41,"1,729"
Sterling,-,1,"1,154","1,373",3,115,"2,645"
Sterling,-,2,"1,216","1,503",4,122,"2,845"
Townsend,-,1,742,"1,001",3,67,"1,813"
Townsend,-,2,747,985,3,66,"1,801"
Townsend,-,3,814,996,0,71,"1,881"
Westminster,-,1,"1,190","1,414",5,92,"2,701"
Westminster,-,2,"1,082","1,427",9,114,"2,632"
TOTALS,,,"42,188","40,558",105,"2,933","85,784"
