City/Town,Ward,Pct,"Lori Loureiro Trahan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acton,-,1,"1,852",13,402,"2,267"
Acton,-,2,"1,936",28,465,"2,429"
Acton,-,3,"1,855",41,405,"2,301"
Acton,-,4,"2,122",22,400,"2,544"
Acton,-,5,"1,964",33,391,"2,388"
Acton,-,6,"1,680",22,387,"2,089"
Andover,-,2,"1,857",87,685,"2,629"
Andover,-,3,"1,798",32,564,"2,394"
Andover,-,4,"1,747",63,669,"2,479"
Andover,-,5,"1,976",18,772,"2,766"
Andover,-,6,"1,770",41,707,"2,518"
Andover,-,7,"1,367",39,513,"1,919"
Andover,-,9,"1,723",66,611,"2,400"
Ashburnham,-,1,"2,680",145,"1,012","3,837"
Ashby,-,1,"1,323",0,709,"2,032"
Ayer,-,1,"1,639",60,489,"2,188"
Ayer,-,2,"1,841",31,593,"2,465"
Berlin,-,1,"1,638",17,620,"2,275"
Bolton,-,1,"2,789",7,"1,017","3,813"
Boxborough,-,1,"2,669",28,743,"3,440"
Carlisle,-,1,"2,842",25,803,"3,670"
Chelmsford,-,1,"1,849",34,620,"2,503"
Chelmsford,-,2,"1,758",21,526,"2,305"
Chelmsford,-,3,"1,727",27,679,"2,433"
Chelmsford,-,4,"1,715",30,685,"2,430"
Chelmsford,-,5,"1,803",31,689,"2,523"
Chelmsford,-,6,"1,823",35,692,"2,550"
Chelmsford,-,7,"1,869",39,712,"2,620"
Chelmsford,-,8,"1,843",17,603,"2,463"
Chelmsford,-,9,"1,887",41,731,"2,659"
Clinton,-,1,"1,578",42,457,"2,077"
Clinton,-,2,"1,448",36,404,"1,888"
Clinton,-,3,"1,531",50,448,"2,029"
Clinton,-,4,"1,378",45,443,"1,866"
Concord,-,1,"1,898",24,443,"2,365"
Concord,-,2,"2,248",30,507,"2,785"
Concord,-,3,"2,001",31,543,"2,575"
Concord,-,4,"2,327",23,559,"2,909"
Concord,-,5,"1,424",10,323,"1,757"
Dracut,-,1,"1,296",3,466,"1,765"
Dracut,-,2,"1,131",0,460,"1,591"
