City/Town,Ward,Pct,"Ayanna S. Pressley","Roy A. Owens, Sr","Rayla Danella Campbell","Rachel Nicole Miselman","Claudette N. Joseph","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled,Republican,Republican,Republican
Boston,1,1,910,175,0,0,0,15,82,"1,182"
Boston,1,2,653,140,0,0,0,13,44,850
Boston,1,3,"1,662",341,5,0,0,8,149,"2,165"
Boston,1,4,699,134,4,3,0,2,53,895
Boston,1,5,783,168,11,0,0,1,77,"1,040"
Boston,1,6,684,124,4,0,0,2,70,884
Boston,1,7,716,138,10,0,0,7,68,939
Boston,1,8,899,184,5,1,0,8,119,"1,216"
Boston,1,9,651,124,0,0,0,8,59,842
Boston,1,10,449,93,1,0,0,5,49,597
Boston,1,11,691,247,0,0,0,12,122,"1,072"
Boston,1,12,684,270,0,0,0,44,99,"1,097"
Boston,1,13,991,300,0,0,0,20,119,"1,430"
Boston,1,14,430,182,0,0,0,12,77,701
Boston,1,15,1,0,0,0,0,0,0,1
Boston,2,1,"1,189",392,14,0,0,11,149,"1,755"
Boston,2,2,"1,589",428,6,2,0,17,167,"2,209"
Boston,2,3,930,287,8,0,0,11,70,"1,306"
Boston,2,4,882,230,12,0,0,3,93,"1,220"
Boston,2,5,952,313,17,0,0,16,83,"1,381"
Boston,2,6,"1,101",376,21,0,0,26,151,"1,675"
Boston,2,7,"1,079",339,0,0,0,31,107,"1,556"
Boston,3,7,"2,345",318,3,0,0,9,152,"2,827"
Boston,3,8,"3,282",570,0,0,0,20,362,"4,234"
Boston,4,1,"1,228",213,3,0,0,4,67,"1,515"
Boston,4,2,"1,758",403,8,0,0,10,149,"2,328"
Boston,4,3,883,124,0,0,0,4,47,"1,058"
Boston,4,4,"1,181",156,0,0,0,5,83,"1,425"
Boston,4,5,801,119,0,0,0,9,67,996
Boston,4,6,699,131,1,0,0,3,53,887
Boston,4,7,746,76,10,0,0,2,43,877
Boston,4,8,597,86,2,0,0,2,59,746
Boston,4,9,376,24,0,0,0,1,35,436
Boston,4,10,201,13,0,0,0,0,8,222
Boston,5,1,"2,394",456,2,0,0,14,233,"3,099"
Boston,5,2,932,108,1,0,0,2,37,"1,080"
Boston,5,2A,632,92,0,0,0,3,32,759
Boston,5,6,937,327,4,0,0,10,103,"1,381"
Boston,5,7,"1,271",318,2,0,0,11,103,"1,705"
Boston,5,8,"1,123",325,5,0,0,12,92,"1,557"
Boston,5,9,"1,574",351,1,0,0,21,111,"2,058"
Boston,5,10,886,189,3,0,0,5,77,"1,160"
Boston,7,10,673,65,0,0,0,2,42,782
Boston,8,1,794,82,0,0,0,1,72,949
Boston,8,2,"1,337",185,0,0,0,12,91,"1,625"
Boston,8,3,684,45,0,0,0,3,24,756
Boston,8,4,418,21,0,0,0,1,24,464
Boston,8,5,763,72,0,0,0,4,39,878
Boston,8,6,300,26,0,0,0,1,16,343
Boston,8,7,578,52,0,0,0,1,23,654
Boston,9,1,"1,065",113,0,0,0,4,117,"1,299"
Boston,9,2,"1,443",149,0,0,0,11,72,"1,675"
Boston,9,3,"1,739",125,0,0,0,8,92,"1,964"
Boston,9,4,"1,093",81,0,0,0,1,81,"1,256"
Boston,9,5,"1,327",63,0,0,0,2,49,"1,441"
Boston,10,1,577,52,0,0,0,1,43,673
Boston,10,2,522,71,0,0,0,1,32,626
Boston,10,3,507,51,0,0,0,6,34,598
Boston,10,4,933,133,1,0,0,5,154,"1,226"
Boston,10,5,677,63,1,0,0,6,38,785
Boston,10,6,765,66,0,0,0,9,40,880
Boston,10,7,991,38,0,0,0,0,57,"1,086"
Boston,10,8,"1,253",104,0,0,0,10,88,"1,455"
Boston,10,9,"1,466",99,0,0,0,4,58,"1,627"
Boston,11,1,634,39,0,0,0,2,13,688
Boston,11,2,"1,016",50,0,0,0,0,28,"1,094"
Boston,11,3,779,40,0,0,0,4,37,860
Boston,11,4,"1,249",71,0,0,0,6,43,"1,369"
Boston,11,5,"1,067",68,1,0,0,0,58,"1,194"
Boston,11,6,898,55,1,0,0,1,23,978
Boston,11,7,"1,101",63,1,0,0,4,33,"1,202"
Boston,11,8,"1,498",111,1,0,0,3,44,"1,657"
Boston,12,1,"1,010",68,0,0,0,5,39,"1,122"
Boston,12,2,"1,298",56,0,0,0,4,31,"1,389"
Boston,12,3,528,27,1,0,0,1,11,568
Boston,12,4,698,46,0,0,0,3,40,787
Boston,12,5,469,23,0,0,0,1,19,512
Boston,12,6,592,41,0,0,0,2,22,657
Boston,12,7,"1,281",63,0,0,0,1,85,"1,430"
Boston,12,8,499,20,0,0,0,2,19,540
Boston,12,9,638,35,0,0,0,0,33,706
Boston,13,1,815,71,0,0,1,7,34,928
Boston,13,2,341,31,0,0,0,1,13,386
Boston,13,4,608,53,0,0,0,1,20,682
Boston,13,5,586,39,0,0,0,3,33,661
Boston,13,6,798,87,2,0,0,5,45,937
Boston,13,8,703,157,0,0,0,17,102,979
Boston,13,9,829,142,6,0,0,4,84,"1,065"
Boston,14,1,"1,378",70,1,0,0,2,47,"1,498"
Boston,14,2,"1,462",72,0,0,0,2,69,"1,605"
Boston,14,3,717,30,0,0,0,2,26,775
Boston,14,4,829,42,0,0,0,4,28,903
Boston,14,5,692,30,1,0,0,0,9,732
Boston,14,6,644,28,0,0,0,2,36,710
Boston,14,7,657,34,0,0,0,2,20,713
Boston,14,8,790,32,0,0,0,0,25,847
Boston,14,9,735,31,0,0,0,0,37,803
Boston,14,10,808,47,0,2,0,1,36,894
Boston,14,11,756,33,0,0,0,2,42,833
Boston,14,12,458,11,0,1,0,0,11,481
Boston,14,13,629,37,0,0,0,2,17,685
Boston,14,14,751,26,0,0,0,3,30,810
Boston,15,1,902,49,0,0,0,0,47,998
Boston,15,2,619,31,0,0,0,1,25,676
Boston,15,3,342,36,1,0,0,3,32,414
Boston,15,4,"1,010",132,0,0,0,4,118,"1,264"
Boston,15,5,758,51,0,0,0,3,32,844
Boston,15,6,320,111,0,0,0,10,107,548
Boston,15,7,602,38,0,0,0,1,42,683
Boston,15,8,485,104,4,0,0,9,63,665
Boston,15,9,499,88,0,0,0,0,79,666
Boston,16,1,562,142,0,0,0,13,74,791
Boston,16,3,809,114,0,0,0,7,101,"1,031"
Boston,16,4,750,141,0,0,0,7,70,968
Boston,16,6,"1,023",162,0,0,0,15,158,"1,358"
Boston,16,8,779,252,17,0,0,11,97,"1,156"
Boston,16,11,710,289,26,1,0,9,116,"1,151"
Boston,17,1,673,44,0,0,0,3,21,741
Boston,17,2,519,58,0,0,0,0,29,606
Boston,17,3,"1,163",79,0,0,0,10,40,"1,292"
Boston,17,4,"1,286",149,0,0,0,12,87,"1,534"
Boston,17,5,533,32,0,0,0,1,24,590
Boston,17,6,846,63,0,0,0,6,35,950
Boston,17,7,473,17,0,0,0,1,8,499
Boston,17,8,766,44,0,0,0,2,28,840
Boston,17,9,653,42,2,0,0,0,27,724
Boston,17,10,998,36,0,0,0,5,40,"1,079"
Boston,17,11,407,20,0,0,0,5,19,451
Boston,17,12,673,44,0,0,0,2,20,739
Boston,17,13,791,151,6,0,0,6,87,"1,041"
Boston,17,14,822,113,0,0,0,7,58,"1,000"
Boston,18,1,"1,284",65,0,0,0,3,47,"1,399"
Boston,18,2,972,34,0,0,0,0,29,"1,035"
Boston,18,3,"1,097",37,0,0,0,1,30,"1,165"
Boston,18,4,"1,163",38,1,0,0,0,37,"1,239"
Boston,18,5,"1,183",52,0,0,0,2,40,"1,277"
Boston,18,6,"1,397",60,0,0,0,6,48,"1,511"
Boston,18,7,"1,007",116,5,0,0,0,52,"1,180"
Boston,18,8,"1,723",143,4,0,0,8,87,"1,965"
Boston,18,9,938,138,1,0,0,21,80,"1,178"
Boston,18,10,"1,470",226,13,0,0,10,84,"1,803"
Boston,18,11,858,94,2,0,0,2,47,"1,003"
Boston,18,12,957,161,3,0,0,15,61,"1,197"
Boston,18,13,608,61,3,0,0,3,40,715
Boston,18,14,670,57,0,0,0,4,42,773
Boston,18,15,"1,051",59,1,1,0,1,51,"1,164"
Boston,18,16,916,272,61,0,0,10,90,"1,349"
Boston,18,17,972,147,7,0,0,7,78,"1,211"
Boston,18,18,"1,185",181,21,0,0,15,100,"1,502"
Boston,18,19,"1,634",252,13,0,0,15,99,"2,013"
Boston,18,20,"1,097",367,34,0,0,8,130,"1,636"
Boston,18,21,"1,314",35,0,0,0,3,38,"1,390"
Boston,18,22,"1,004",259,16,0,0,11,109,"1,399"
Boston,18,23,903,57,0,0,0,4,51,"1,015"
Boston,19,7,"1,353",100,0,0,0,6,46,"1,505"
Boston,19,10,"1,181",149,0,0,0,3,62,"1,395"
Boston,19,11,"1,022",85,0,0,0,4,57,"1,168"
Boston,19,12,827,92,0,0,0,4,62,985
Boston,19,13,725,83,0,0,0,9,37,854
Boston,20,3,884,320,16,0,0,3,118,"1,341"
Boston,21,1,"1,187",125,0,0,0,8,51,"1,371"
Boston,21,2,286,24,1,0,0,1,18,330
Boston,21,3,714,73,2,0,0,6,25,820
Boston,21,4,617,66,0,0,0,2,34,719
Boston,21,5,920,100,0,0,0,4,34,"1,058"
Boston,21,6,688,67,0,0,0,10,48,813
Boston,21,7,906,98,0,0,0,12,55,"1,071"
Boston,21,8,"1,161",112,0,0,0,12,37,"1,322"
Boston,21,9,"1,125",136,1,0,0,9,74,"1,345"
Boston,21,10,823,113,5,0,0,4,53,998
Boston,21,11,"1,108",125,0,0,0,5,75,"1,313"
Boston,21,12,904,169,1,0,0,12,83,"1,169"
Boston,21,13,"1,065",261,2,0,0,8,217,"1,553"
Boston,21,14,677,68,0,0,0,6,29,780
Boston,21,15,802,98,0,0,0,4,30,934
Boston,21,16,956,191,6,0,0,10,93,"1,256"
Boston,22,1,"1,226",183,0,0,0,7,82,"1,498"
Boston,22,2,"1,422",187,0,0,0,9,107,"1,725"
