City/Town,Ward,Pct,"Stephen F. Lynch","Jonathan D. Lott","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Abington,-,1,"1,249",412,6,193,"1,860"
Abington,-,2,"1,203",435,10,202,"1,850"
Abington,-,3,"1,233",409,5,206,"1,853"
Abington,-,4,"1,368",458,10,252,"2,088"
Abington,-,5,"1,397",446,10,231,"2,084"
Avon,-,1,"1,894",511,8,310,"2,723"
Boston,3,1,"1,800",322,19,296,"2,437"
Boston,3,2,909,175,10,161,"1,255"
Boston,3,3,"1,012",177,7,168,"1,364"
Boston,3,4,"1,194",236,10,169,"1,609"
Boston,3,5,"2,126",357,16,303,"2,802"
Boston,3,6,"2,611",460,31,365,"3,467"
Boston,5,3,"1,047",178,9,149,"1,383"
Boston,5,4,"1,285",223,10,149,"1,667"
Boston,5,5,417,60,1,65,543
Boston,5,11,706,110,12,92,920
Boston,6,1,"4,022",657,46,498,"5,223"
Boston,6,2,832,131,5,104,"1,072"
Boston,6,3,"1,264",183,13,135,"1,595"
Boston,6,4,"1,214",179,14,114,"1,521"
Boston,6,5,"1,247",182,10,117,"1,556"
Boston,6,6,"1,000",131,9,126,"1,266"
Boston,6,7,"1,094",185,15,129,"1,423"
Boston,6,8,"1,019",127,8,123,"1,277"
Boston,6,9,965,159,12,125,"1,261"
Boston,7,1,884,146,8,106,"1,144"
Boston,7,2,"1,169",176,13,120,"1,478"
Boston,7,3,"1,204",187,7,121,"1,519"
Boston,7,4,"1,028",168,11,113,"1,320"
Boston,7,5,873,134,5,89,"1,101"
Boston,7,6,811,136,7,99,"1,053"
Boston,7,7,599,98,0,70,767
Boston,7,8,836,149,12,78,"1,075"
Boston,7,9,645,123,17,81,866
Boston,11,9,622,149,16,78,865
Boston,11,10,819,167,20,83,"1,089"
Boston,13,3,686,133,4,92,915
Boston,13,7,790,169,12,141,"1,112"
Boston,13,10,"1,062",217,10,142,"1,431"
Boston,16,2,518,112,11,76,717
Boston,16,5,812,133,11,103,"1,059"
Boston,16,7,760,137,11,102,"1,010"
Boston,16,9,966,134,8,135,"1,243"
Boston,16,10,804,135,16,134,"1,089"
Boston,16,12,826,109,6,104,"1,045"
Boston,19,1,809,171,25,97,"1,102"
Boston,19,2,964,200,18,173,"1,355"
Boston,19,3,717,155,13,83,968
Boston,19,4,"1,003",181,25,111,"1,320"
