City/Town,Ward,Pct,"Bill Keating","Helen Brady","Michael Manley","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled
Acushnet,-,1,896,741,52,1,101,"1,791"
Acushnet,-,2,"1,067",915,58,1,124,"2,165"
Acushnet,-,3,"1,045",943,49,3,130,"2,170"
Aquinnah,-,1,311,26,5,0,13,355
Barnstable,-,1,"1,701",971,51,1,78,"2,802"
Barnstable,-,2,"1,404",883,64,1,55,"2,407"
Barnstable,-,3,"1,157",552,53,1,61,"1,824"
Barnstable,-,4,"1,313",768,47,0,60,"2,188"
Barnstable,-,5,"1,340","1,080",39,0,63,"2,522"
Barnstable,-,6,"1,383",893,60,0,69,"2,405"
Barnstable,-,7,"1,584",960,56,2,77,"2,679"
Barnstable,-,8,"1,072",497,45,4,57,"1,675"
Barnstable,-,9,758,314,33,0,46,"1,151"
Barnstable,-,10,"1,234",872,74,0,66,"2,246"
Barnstable,-,11,"1,428","1,023",60,1,70,"2,582"
Barnstable,-,12,"1,422",974,72,2,80,"2,550"
Barnstable,-,13,"1,044",512,40,0,57,"1,653"
Bourne,-,1,994,694,47,1,30,"1,766"
Bourne,-,2,"1,128",840,49,0,71,"2,088"
Bourne,-,3,540,457,13,1,208,"1,219"
Bourne,-,4,"1,275",702,31,2,52,"2,062"
Bourne,-,5,"1,173",618,0,3,109,"1,903"
Bourne,-,6,780,459,0,0,102,"1,341"
Bourne,-,7,"1,094",691,33,1,48,"1,867"
Brewster,-,1,"1,687",700,98,1,60,"2,546"
Brewster,-,2,"1,636",663,124,1,67,"2,491"
Brewster,-,3,"1,515",737,142,0,63,"2,457"
Carver,-,1,"1,072","1,038",47,0,101,"2,258"
Carver,-,2,"1,079",996,41,3,83,"2,202"
Carver,-,3,"1,291","1,112",50,2,86,"2,541"
Chatham,-,1,"3,083","1,794",106,3,136,"5,122"
Chilmark,-,1,778,115,12,0,19,924
Dartmouth,-,1,"1,112","1,138",59,2,122,"2,433"
Dartmouth,-,2,839,515,40,38,57,"1,489"
Dartmouth,-,3,39,4,3,0,1,47
Dartmouth,-,4,"1,245",766,54,2,110,"2,177"
Dartmouth,-,5,"1,376",826,46,1,118,"2,367"
Dartmouth,-,6,"1,057",643,33,0,101,"1,834"
Dartmouth,-,7,"1,254",852,38,0,123,"2,267"
Dartmouth,-,8,"1,637",825,36,0,134,"2,632"
Dartmouth,-,9,"1,657",903,22,2,149,"2,733"
Dennis,-,1,"1,303",770,53,1,64,"2,191"
Dennis,-,2,"1,325",784,67,0,55,"2,231"
Dennis,-,3,"1,132",585,59,0,51,"1,827"
Dennis,-,4,"1,276",711,66,0,59,"2,112"
Dennis,-,5,"1,284",605,61,2,61,"2,013"
Duxbury,-,1,"1,254",784,30,0,75,"2,143"
Duxbury,-,2,"1,117",758,19,1,70,"1,965"
Duxbury,-,3,"1,144",665,21,1,51,"1,882"
Duxbury,-,4,"1,082",630,27,0,63,"1,802"
Duxbury,-,5,"1,063",666,26,2,62,"1,819"
Duxbury,-,6,985,603,32,2,66,"1,688"
Eastham,-,1,"2,846","1,066",112,3,90,"4,117"
Edgartown,-,1,"2,178",800,42,0,106,"3,126"
Fairhaven,-,1,"1,013",506,30,1,100,"1,650"
Fairhaven,-,2,977,558,28,2,83,"1,648"
Fairhaven,-,3,718,486,31,3,77,"1,315"
Fairhaven,-,4,918,583,36,4,96,"1,637"
Fairhaven,-,5,922,696,34,5,95,"1,752"
Fairhaven,-,6,850,671,30,0,76,"1,627"
"Fall River",1,A,849,571,53,0,126,"1,599"
"Fall River",1,B,631,398,27,0,90,"1,146"
"Fall River",1,C,654,478,34,2,121,"1,289"
"Fall River",2,A,549,273,30,2,78,932
"Fall River",2,B,466,293,40,1,63,863
"Fall River",2,C,556,340,23,0,90,"1,009"
"Fall River",3,A,676,408,36,1,98,"1,219"
"Fall River",3,B,684,391,33,1,97,"1,206"
"Fall River",3,C,749,475,43,1,101,"1,369"
"Fall River",4,A,555,249,22,0,80,906
"Fall River",4,B,524,240,35,0,64,863
"Fall River",5,A,412,203,27,0,62,704
"Fall River",5,B,348,142,23,0,54,567
"Fall River",6,A,720,531,41,0,124,"1,416"
"Fall River",6,B,547,284,28,0,85,944
"Fall River",6,C,681,363,47,1,93,"1,185"
Falmouth,-,1,"2,067",525,22,0,75,"2,689"
Falmouth,-,2,"1,657",620,36,1,78,"2,392"
Falmouth,-,3,"1,496",724,33,3,85,"2,341"
Falmouth,-,4,"1,518",891,36,2,76,"2,523"
Falmouth,-,5,"1,735",828,29,1,92,"2,685"
Falmouth,-,6,"1,632",784,34,0,75,"2,525"
Falmouth,-,7,"1,391",820,50,4,84,"2,349"
Falmouth,-,8,"1,391",841,41,2,82,"2,357"
Falmouth,-,9,"1,367",710,37,1,78,"2,193"
Gosnold,-,1,54,23,2,0,3,82
Halifax,-,1,"1,226","1,160",45,3,112,"2,546"
Halifax,-,2,"1,228",986,35,2,96,"2,347"
Hanover,-,1,"1,279","1,074",35,2,118,"2,508"
Hanover,-,2,"1,261","1,075",39,2,113,"2,490"
