City/Town,Ward,Pct,"Diana DiZoglio","Anthony M. Amore","Gloria A. Caballero-Roca","Dominic S. Giannone, III","Daniel Werner Riek","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Green-Rainbow,"Workers Party",Libertarian
Abington,-,1,532,523,21,70,18,2,43,"1,209"
Abington,-,2,493,552,21,82,25,0,60,"1,233"
Abington,-,3,562,622,19,78,19,0,72,"1,372"
Abington,-,4,569,644,20,77,22,0,72,"1,404"
Abington,-,5,593,619,20,79,33,1,73,"1,418"
Acton,-,1,677,290,23,14,27,1,40,"1,072"
Acton,-,2,950,474,27,13,24,0,84,"1,572"
Acton,-,3,"1,111",465,71,21,26,0,89,"1,783"
Acton,-,4,"1,006",370,67,23,26,0,89,"1,581"
Acton,-,5,"1,009",382,44,23,27,0,86,"1,571"
Acton,-,6,692,277,30,10,15,1,65,"1,090"
Acton,-,6A,325,98,10,4,11,0,19,467
Acton,-,7,757,353,17,12,13,0,72,"1,224"
Acushnet,-,1,498,609,19,39,41,1,41,"1,248"
Acushnet,-,2,451,704,21,19,22,0,52,"1,269"
Acushnet,-,2A,56,70,2,3,5,0,1,137
Acushnet,-,3,567,805,21,31,25,0,55,"1,504"
Adams,-,1,270,145,20,13,11,0,15,474
Adams,-,2,337,221,24,17,13,0,22,634
Adams,-,3,302,222,20,15,9,0,19,587
Adams,-,4,278,185,14,16,13,0,12,518
Adams,-,5,407,219,23,12,13,0,21,695
Agawam,-,1,422,573,56,42,17,1,55,"1,166"
Agawam,-,2,609,819,55,29,25,0,95,"1,632"
Agawam,-,3,438,668,64,22,18,1,61,"1,272"
Agawam,-,4,430,546,45,20,33,0,51,"1,125"
Agawam,-,5,637,786,57,33,28,1,82,"1,624"
Agawam,-,6,494,722,57,29,32,0,78,"1,412"
Agawam,-,7,533,895,51,24,34,1,89,"1,627"
Agawam,-,8,596,761,55,28,29,1,73,"1,543"
Alford,,,192,48,7,1,2,0,22,272
Amesbury,-,1,929,526,27,21,19,0,57,"1,579"
Amesbury,-,2,768,329,26,28,25,1,50,"1,227"
Amesbury,-,3,885,415,25,20,26,0,41,"1,412"
Amesbury,-,4,581,318,27,19,22,1,46,"1,014"
Amesbury,-,5,726,504,22,13,20,0,59,"1,344"
Amesbury,-,6,659,311,19,23,15,0,35,"1,062"
Amherst,-,1A,503,69,80,26,6,1,36,721
Amherst,-,1B,295,40,35,9,5,1,19,404
Amherst,-,2A,357,44,28,10,5,0,37,481
Amherst,-,2B,961,140,132,27,17,0,80,"1,357"
Amherst,-,3A,317,50,34,14,3,0,36,454
Amherst,-,3B,886,108,106,38,15,2,74,"1,229"
Amherst,-,4A,467,48,68,21,6,0,28,638
Amherst,-,4B,288,23,44,7,1,0,25,388
Amherst,-,5A,353,32,38,14,7,0,29,473
Amherst,-,5B,"1,572",155,128,37,20,1,102,"2,015"
Andover,-,1,671,323,34,16,20,1,38,"1,103"
Andover,-,2,886,563,25,18,26,2,63,"1,583"
Andover,-,3,"1,022",601,54,24,33,0,69,"1,803"
Andover,-,4,497,421,13,6,11,2,45,995
Andover,-,4A,248,155,13,8,15,1,16,456
Andover,-,5,876,649,19,3,19,3,57,"1,626"
Andover,-,6,738,642,34,15,37,2,55,"1,523"
Andover,-,7,859,721,24,11,40,2,78,"1,735"
Andover,-,8,937,633,27,15,42,1,78,"1,733"
Andover,-,9,798,625,12,12,25,1,54,"1,527"
Andover,-,10,894,665,21,14,40,1,77,"1,712"
Aquinnah,,,193,42,12,3,3,0,10,263
Arlington,-,1,510,135,45,20,14,0,35,759
Arlington,-,2,773,217,41,17,14,2,53,"1,117"
Arlington,-,3,772,144,42,23,10,0,59,"1,050"
Arlington,-,4,671,149,50,29,16,1,60,976
Arlington,-,5,776,210,57,19,11,0,53,"1,126"
Arlington,-,6,734,149,54,13,15,0,40,"1,005"
Arlington,-,7,698,174,48,23,20,0,41,"1,004"
Arlington,-,8,799,238,47,22,17,2,68,"1,193"
Arlington,-,9,622,171,28,24,9,1,38,893
Arlington,-,10,825,212,63,10,14,1,76,"1,201"
Arlington,-,11,748,361,34,16,21,1,50,"1,231"
Arlington,-,12,849,283,29,13,20,0,76,"1,270"
Arlington,-,13,686,349,28,7,9,5,64,"1,148"
Arlington,-,14,665,208,49,16,12,0,59,"1,009"
Arlington,-,15,678,216,38,17,5,1,55,"1,010"
Arlington,-,16,768,241,41,13,20,1,47,"1,131"
Arlington,-,17,597,158,24,25,12,3,41,860
Arlington,-,18,684,302,28,7,14,0,84,"1,119"
