City/Town,Ward,Pct,"Timothy J. Shugrue","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Adams,-,1,401,2,71,474
Adams,-,2,529,4,101,634
Adams,-,3,474,2,111,587
Adams,-,4,442,2,74,518
Adams,-,5,599,4,92,695
Alford,,,216,0,56,272
Becket,,,623,14,178,815
Cheshire,,,"1,153",11,207,"1,371"
Clarksburg,,,582,11,105,698
Dalton,-,1,"1,111",21,195,"1,327"
Dalton,-,2,"1,089",14,180,"1,283"
Egremont,,,622,3,135,760
Florida,,,204,0,83,287
"Great Barrington",-,A,664,15,96,775
"Great Barrington",-,B,650,17,126,793
"Great Barrington",-,C,485,12,67,564
"Great Barrington",-,D,707,14,158,879
Hancock,,,280,0,74,354
Hinsdale,,,705,3,150,858
Lanesborough,,,"1,021",14,250,"1,285"
Lee,,,"2,030",29,357,"2,416"
Lenox,,,"2,219",28,300,"2,547"
Monterey,,,428,2,70,500
"Mount Washington",,,88,0,18,106
"New Ashford",,,97,0,21,118
"New Marlborough",,,569,5,192,766
"N. Adams",1,1,716,3,148,867
"N. Adams",2,2,661,9,133,803
"N. Adams",3,3,459,5,92,556
"N. Adams",4,4,753,3,180,936
"N. Adams",5,5,608,6,126,740
Otis,,,557,6,206,769
Peru,,,278,2,84,364
Pittsfield,1,A,572,3,107,682
Pittsfield,1,B,946,5,164,"1,115"
Pittsfield,2,A,368,3,77,448
Pittsfield,2,B,921,1,158,"1,080"
Pittsfield,3,A,"1,016",10,178,"1,204"
Pittsfield,3,B,"1,107",12,192,"1,311"
Pittsfield,4,A,"1,034",18,203,"1,255"
Pittsfield,4,B,"1,307",5,243,"1,555"
Pittsfield,5,A,838,13,158,"1,009"
Pittsfield,5,B,945,6,168,"1,119"
Pittsfield,6,A,902,6,146,"1,054"
Pittsfield,6,B,629,7,116,752
Pittsfield,7,A,481,4,124,609
Pittsfield,7,B,869,4,168,"1,041"
Richmond,,,700,16,108,824
Sandisfield,,,253,6,99,358
Savoy,,,219,0,86,305
Sheffield,,,"1,211",15,308,"1,534"
Stockbridge,,,863,7,199,"1,069"
Tyringham,,,200,0,45,245
Washington,,,236,0,49,285
"W. Stockbridge",,,625,12,113,750
Williamstown,-,1,"1,052",13,157,"1,222"
Williamstown,-,2,292,5,44,341
Williamstown,-,3,"1,138",13,210,"1,361"
Windsor,,,320,2,75,397
TOTALS,,,"41,064",447,"8,131","49,642"
