City/Town,Ward,Pct,"Paul F. Tucker","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amesbury,-,1,"1,136",24,419,"1,579"
Amesbury,-,2,934,20,273,"1,227"
Amesbury,-,3,"1,040",16,356,"1,412"
Amesbury,-,4,738,22,254,"1,014"
Amesbury,-,5,903,25,416,"1,344"
Amesbury,-,6,785,18,259,"1,062"
Andover,-,1,857,10,236,"1,103"
Andover,-,2,"1,107",28,448,"1,583"
Andover,-,3,"1,333",12,458,"1,803"
Andover,-,4,673,16,306,995
Andover,-,4A,335,4,117,456
Andover,-,5,"1,143",29,454,"1,626"
Andover,-,6,"1,063",36,424,"1,523"
Andover,-,7,"1,204",28,503,"1,735"
Andover,-,8,"1,241",39,453,"1,733"
Andover,-,9,"1,096",42,389,"1,527"
Andover,-,10,"1,199",42,471,"1,712"
Beverly,1,1,980,13,325,"1,318"
Beverly,1,2,"1,325",22,416,"1,763"
Beverly,2,1,"1,098",11,269,"1,378"
Beverly,2,2,"1,217",16,287,"1,520"
Beverly,3,1,737,10,157,904
Beverly,3,2,"1,035",10,325,"1,370"
Beverly,4,1,646,7,212,865
Beverly,4,2,"1,584",11,400,"1,995"
Beverly,5,1,"1,194",14,395,"1,603"
Beverly,5,2,"1,064",7,353,"1,424"
Beverly,6,1,"1,384",18,414,"1,816"
Beverly,6,2,"1,410",13,494,"1,917"
Boxford,-,1,881,33,417,"1,331"
Boxford,-,2,991,33,440,"1,464"
Boxford,-,3,889,30,453,"1,372"
Danvers,-,1,"1,107",3,380,"1,490"
Danvers,-,2,"1,085",0,461,"1,546"
Danvers,-,3,914,13,420,"1,347"
Danvers,-,4,"1,054",21,491,"1,566"
Danvers,-,5,"1,069",4,508,"1,581"
Danvers,-,6,"1,156",15,580,"1,751"
Danvers,-,7,"1,101",4,494,"1,599"
Danvers,-,8,858,7,392,"1,257"
Essex,,,"1,320",18,506,"1,844"
Georgetown,-,1,961,30,446,"1,437"
Georgetown,-,2,867,39,391,"1,297"
Georgetown,-,3,894,25,391,"1,310"
Gloucester,1,1,"1,215",12,475,"1,702"
Gloucester,1,2,937,24,320,"1,281"
Gloucester,2,1,731,18,247,996
Gloucester,2,2,668,16,210,894
Gloucester,3,1,686,30,253,969
Gloucester,3,2,767,31,311,"1,109"
Gloucester,4,1,883,18,427,"1,328"
Gloucester,4,2,"1,330",23,430,"1,783"
Gloucester,5,1,"1,122",19,487,"1,628"
Gloucester,5,2,"1,130",38,540,"1,708"
Groveland,-,1,"1,174",35,503,"1,712"
Groveland,-,2,"1,069",43,551,"1,663"
Hamilton,-,1,"1,362",25,490,"1,877"
Hamilton,-,2,"1,374",14,466,"1,854"
Haverhill,1,1,252,6,74,332
Haverhill,1,2,297,13,81,391
Haverhill,1,2A,142,10,43,195
