City/Town,Ward,Pct,"Joseph D. Early, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashburnham,-,1,975,51,440,"1,466"
Ashburnham,-,2,963,45,373,"1,381"
Auburn,-,1,"1,111",31,351,"1,493"
Auburn,-,2,"1,044",41,352,"1,437"
Auburn,-,3,"1,187",20,384,"1,591"
Auburn,-,4,994,41,313,"1,348"
Auburn,-,5,993,32,307,"1,332"
Barre,-,1,809,40,309,"1,158"
Barre,-,2,729,33,289,"1,051"
Berlin,,,"1,318",15,527,"1,860"
Blackstone,-,1,665,8,309,982
Blackstone,-,2,749,9,371,"1,129"
Blackstone,-,3,774,15,467,"1,256"
Bolton,,,"2,125",70,691,"2,886"
Boylston,,,"1,902",47,684,"2,633"
Brookfield,,,"1,003",27,451,"1,481"
Charlton,-,1,920,14,476,"1,410"
Charlton,-,2,967,18,524,"1,509"
Charlton,-,3,959,12,422,"1,393"
Charlton,-,4,937,18,451,"1,406"
Charlton,-,4A,31,1,6,38
Clinton,-,1,"1,104",30,331,"1,465"
Clinton,-,2,824,32,205,"1,061"
Clinton,-,3,"1,060",41,321,"1,422"
Clinton,-,4,904,28,292,"1,224"
Douglas,-,1,781,3,532,"1,316"
Douglas,-,2,911,0,520,"1,431"
Douglas,-,3,788,0,425,"1,213"
Dudley,-,1,881,18,382,"1,281"
Dudley,-,2,585,1,294,880
Dudley,-,3,585,16,287,888
Dudley,-,4,800,11,349,"1,160"
"E. Brookfield",,,678,0,297,975
Fitchburg,1,A,481,18,142,641
Fitchburg,1,B,598,19,168,785
Fitchburg,2,A,458,14,135,607
Fitchburg,2,B,638,32,194,864
Fitchburg,3,A,"1,065",39,350,"1,454"
Fitchburg,3,B,690,29,259,978
Fitchburg,4,A,428,16,143,587
Fitchburg,4,B,408,13,152,573
Fitchburg,5,A,"1,012",51,408,"1,471"
Fitchburg,5,B,359,18,82,459
Fitchburg,6,A,834,42,255,"1,131"
Fitchburg,6,B,475,17,144,636
Gardner,1,A,601,7,197,805
Gardner,1,B,299,3,112,414
Gardner,2,A,489,2,189,680
Gardner,2,B,519,7,214,740
Gardner,3,A,380,5,145,530
Gardner,3,B,519,9,167,695
Gardner,4,A,434,7,133,574
Gardner,4,B,312,4,107,423
Gardner,5,A,366,7,128,501
Gardner,5,B,578,10,219,807
Grafton,-,1,"1,157",10,407,"1,574"
Grafton,-,2,"1,216",17,462,"1,695"
Grafton,-,3,"1,164",13,448,"1,625"
Grafton,-,4,"1,029",7,334,"1,370"
Grafton,-,5,"1,352",12,488,"1,852"
Hardwick,,,733,13,372,"1,118"
Harvard,,,"2,402",8,789,"3,199"
Holden,-,1,"1,105",8,458,"1,571"
Holden,-,2,"1,079",7,418,"1,504"
Holden,-,3,"1,183",7,400,"1,590"
Holden,-,4,"1,187",3,377,"1,567"
Holden,-,5,"1,183",7,403,"1,593"
Holden,-,6,"1,174",5,410,"1,589"
Hopedale,,,"1,757",12,747,"2,516"
Hubbardston,,,"1,403",34,773,"2,210"
Lancaster,-,1,929,9,410,"1,348"
Lancaster,-,2,"1,256",12,517,"1,785"
Leicester,-,1,766,0,377,"1,143"
Leicester,-,2,783,0,310,"1,093"
Leicester,-,3,778,0,360,"1,138"
Leicester,-,4,779,0,316,"1,095"
Leominster,1,A,895,29,353,"1,277"
Leominster,1,B,855,23,314,"1,192"
Leominster,1,C,624,5,225,854
Leominster,2,A,435,5,113,553
Leominster,2,B,639,8,228,875
Leominster,2,C,345,11,135,491
Leominster,3,A,692,7,244,943
Leominster,3,B,908,7,394,"1,309"
Leominster,3,C,748,7,310,"1,065"
Leominster,4,A,885,8,394,"1,287"
Leominster,4,B,827,7,367,"1,201"
Leominster,4,C,599,208,6,813
Leominster,5,A,622,6,205,833
Leominster,5,B,751,5,304,"1,060"
Leominster,5,C,517,1,180,698
Lunenburg,-,A,938,44,325,"1,307"
Lunenburg,-,B,875,28,291,"1,194"
Lunenburg,-,B1,41,6,17,64
Lunenburg,-,C,881,34,362,"1,277"
Lunenburg,-,C1,8,1,1,10
Lunenburg,-,D,"1,041",39,376,"1,456"
Mendon,-,1,844,8,529,"1,381"
Mendon,-,2,856,10,576,"1,442"
Milford,-,1,487,1,206,694
Milford,-,2,852,4,397,"1,253"
Milford,-,3,700,1,367,"1,068"
Milford,-,4,542,1,230,773
Milford,-,5,"1,109",7,502,"1,618"
Milford,-,6,912,7,355,"1,274"
Milford,-,7,"1,122",10,536,"1,668"
Milford,-,8,"1,026",8,387,"1,421"
Millbury,-,1,"1,011",7,367,"1,385"
Millbury,-,2,"1,147",7,479,"1,633"
Millbury,-,3,955,7,357,"1,319"
Millbury,-,4,999,10,327,"1,336"
Millville,,,771,0,439,"1,210"
"New Braintree",,,340,0,148,488
"N. Brookfield",,,"1,346",640,18,"2,004"
Northborough,-,1,"1,285",32,393,"1,710"
Northborough,-,2,"1,314",29,351,"1,694"
Northborough,-,3,"1,354",32,414,"1,800"
Northborough,-,4,"1,423",34,427,"1,884"
Northbridge,-,1,968,3,364,"1,335"
Northbridge,-,2,747,7,345,"1,099"
Northbridge,-,3,717,4,360,"1,081"
Northbridge,-,4,964,12,514,"1,490"
Northbridge,-,5,916,7,435,"1,358"
Oakham,,,592,20,322,934
Oxford,-,1,939,0,419,"1,358"
Oxford,-,2,922,0,371,"1,293"
Oxford,-,3,912,2,395,"1,309"
Oxford,-,4,827,0,395,"1,222"
Oxford,-,4A,12,0,8,20
Paxton,,,"1,623",20,571,"2,214"
Petersham,,,519,4,221,744
Phillipston,,,533,0,276,809
Princeton,,,"1,412",32,516,"1,960"
Royalston,,,442,5,186,633
Rutland,-,1,"1,003",0,439,"1,442"
Rutland,-,2,874,0,379,"1,253"
Rutland,-,3,"1,099",0,395,"1,494"
Shrewsbury,-,1,"1,323",5,461,"1,789"
Shrewsbury,-,2,"1,082",15,341,"1,438"
Shrewsbury,-,3,882,6,284,"1,172"
Shrewsbury,-,4,"1,226",7,356,"1,589"
Shrewsbury,-,5,"1,061",5,354,"1,420"
Shrewsbury,-,6,"1,112",10,366,"1,488"
Shrewsbury,-,7,"1,355",17,423,"1,795"
Shrewsbury,-,8,"1,447",9,450,"1,906"
Shrewsbury,-,9,834,4,223,"1,061"
Shrewsbury,-,10,"1,123",8,326,"1,457"
Southborough,-,1,"1,184",11,444,"1,639"
Southborough,-,2,"1,179",11,447,"1,637"
Southborough,-,3,"1,189",16,390,"1,595"
Southbridge,-,1,556,31,216,803
Southbridge,-,2,402,28,160,590
Southbridge,-,3,614,31,297,942
Southbridge,-,4,926,32,417,"1,375"
Southbridge,-,5,437,18,115,570
Spencer,-,1,739,17,326,"1,082"
Spencer,-,2,685,22,243,950
Spencer,-,3,798,52,351,"1,201"
Spencer,-,4,886,15,334,"1,235"
Sterling,-,1,"1,386",61,604,"2,051"
Sterling,-,2,"1,422",77,631,"2,130"
Sturbridge,-,1,"1,018",27,386,"1,431"
Sturbridge,-,2,"1,037",34,446,"1,517"
Sturbridge,-,3,999,36,362,"1,397"
Sutton,-,1,"1,007",8,578,"1,593"
Sutton,-,2,952,21,534,"1,507"
Sutton,-,3,"1,020",39,440,"1,499"
Templeton,-,A,756,74,373,"1,203"
Templeton,-,B,689,44,283,"1,016"
Templeton,-,C,684,18,242,944
Upton,-,1,921,23,379,"1,323"
Upton,-,2,943,29,439,"1,411"
Upton,-,3,805,34,374,"1,213"
Uxbridge,-,1,964,40,510,"1,514"
Uxbridge,-,1A,96,3,45,144
Uxbridge,-,2,897,33,450,"1,380"
Uxbridge,-,3,996,47,493,"1,536"
Uxbridge,-,4,"1,035",51,515,"1,601"
Warren,-,A,831,17,506,"1,354"
Warren,-,B,296,1,152,449
Webster,-,1,416,19,151,586
Webster,-,1A,175,12,62,249
Webster,-,2,427,23,135,585
Webster,-,3,716,38,246,"1,000"
Webster,-,4,"1,150",52,510,"1,712"
Webster,-,5,868,44,292,"1,204"
"W. Boylston",-,1,"1,150",54,418,"1,622"
"W. Boylston",-,2,"1,390",61,475,"1,926"
"W. Brookfield",,,"1,208",34,507,"1,749"
Westborough,-,1,742,0,184,926
Westborough,-,2,744,6,206,956
Westborough,-,3,868,9,241,"1,118"
Westborough,-,4,788,11,247,"1,046"
Westborough,-,5,"1,374",11,400,"1,785"
Westborough,-,6,"1,475",17,377,"1,869"
