City/Town,Ward,Pct,"Paul M. Depalo","Gary Galonek","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Ashby,,,683,724,0,59,"1,466"
Auburn,-,1,821,626,0,46,"1,493"
Auburn,-,2,747,631,1,58,"1,437"
Auburn,-,3,875,655,0,61,"1,591"
Auburn,-,4,791,505,1,51,"1,348"
Auburn,-,5,708,579,0,45,"1,332"
Barre,-,1,579,531,1,47,"1,158"
Barre,-,2,455,560,0,36,"1,051"
Berlin,,,"1,065",694,1,100,"1,860"
Blackstone,-,1,474,467,0,41,982
Blackstone,-,2,523,546,0,60,"1,129"
Blackstone,-,3,517,682,0,57,"1,256"
Bolton,,,"1,850",899,0,137,"2,886"
Boylston,,,"1,455","1,050",1,127,"2,633"
Brimfield,,,667,"1,035",0,40,"1,742"
Brookfield,,,629,810,0,42,"1,481"
Charlton,-,1,584,777,0,49,"1,410"
Charlton,-,2,543,914,0,52,"1,509"
Charlton,-,3,554,805,0,34,"1,393"
Charlton,-,4,581,791,0,34,"1,406"
Charlton,-,4A,10,28,0,0,38
Clinton,-,1,844,556,0,65,"1,465"
Clinton,-,2,632,397,2,30,"1,061"
Clinton,-,3,819,549,2,52,"1,422"
Clinton,-,4,684,487,1,52,"1,224"
Douglas,-,1,497,741,0,78,"1,316"
Douglas,-,2,598,757,0,76,"1,431"
Douglas,-,3,496,651,0,66,"1,213"
Dudley,-,1,564,680,0,37,"1,281"
Dudley,-,2,373,478,0,29,880
Dudley,-,3,350,508,0,30,888
Dudley,-,4,479,652,0,29,"1,160"
"E. Brookfield",,,403,538,0,34,975
Fitchburg,1,A,379,223,3,36,641
Fitchburg,1,B,473,262,2,48,785
Fitchburg,2,A,344,226,1,36,607
Fitchburg,2,B,488,340,1,35,864
Fitchburg,3,A,787,560,1,106,"1,454"
Fitchburg,3,B,515,421,0,42,978
Fitchburg,4,A,322,233,0,32,587
Fitchburg,4,B,323,172,0,78,573
Fitchburg,5,A,732,646,3,90,"1,471"
Fitchburg,5,B,294,144,1,20,459
Fitchburg,6,A,612,467,0,52,"1,131"
Fitchburg,6,B,391,202,1,42,636
Gardner,1,A,485,289,0,31,805
Gardner,1,B,210,187,0,17,414
Gardner,2,A,375,277,0,28,680
Gardner,2,B,360,346,0,34,740
Gardner,3,A,285,231,1,13,530
Gardner,3,B,406,263,0,26,695
Gardner,4,A,347,206,0,21,574
Gardner,4,B,243,166,1,13,423
Gardner,5,A,276,210,0,15,501
Gardner,5,B,437,342,0,28,807
Grafton,-,1,905,590,0,79,"1,574"
Grafton,-,2,991,593,1,110,"1,695"
Grafton,-,3,929,596,1,99,"1,625"
Grafton,-,4,837,454,0,79,"1,370"
Grafton,-,5,"1,085",637,0,130,"1,852"
Groton,-,1,"1,210",557,4,83,"1,854"
Groton,-,2,"1,108",615,2,75,"1,800"
Groton,-,3,"1,129",540,2,100,"1,771"
Groton,-,3A,76,43,0,7,126
Hardwick,,,513,560,1,44,"1,118"
Holden,-,1,823,673,0,75,"1,571"
Holden,-,2,823,594,0,87,"1,504"
Holden,-,3,883,624,0,83,"1,590"
Holden,-,4,890,610,0,67,"1,567"
