City/Town,Ward,Pct,"Sherrilynn M. Mello","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acushnet,-,1,852,11,385,"1,248"
Acushnet,-,2,793,15,461,"1,269"
Acushnet,-,2A,95,0,42,137
Acushnet,-,3,971,15,518,"1,504"
Dartmouth,-,1,945,38,575,"1,558"
Dartmouth,-,2,739,11,334,"1,084"
Dartmouth,-,3,124,7,53,184
Dartmouth,-,4,942,22,428,"1,392"
Dartmouth,-,5,"1,046",16,478,"1,540"
Dartmouth,-,6,880,21,351,"1,252"
Dartmouth,-,7,"1,115",17,487,"1,619"
Dartmouth,-,8,"1,488",32,555,"2,075"
Dartmouth,-,9,"1,425",20,657,"2,102"
Fairhaven,-,1,820,19,364,"1,203"
Fairhaven,-,2,815,13,318,"1,146"
Fairhaven,-,3,586,28,246,860
Fairhaven,-,4,777,27,366,"1,170"
Fairhaven,-,5,807,32,442,"1,281"
Fairhaven,-,6,757,22,393,"1,172"
"New Bedford",1,A,524,18,201,743
"New Bedford",1,A1,70,3,23,96
"New Bedford",1,B,583,25,266,874
"New Bedford",1,B1,60,2,27,89
"New Bedford",1,C,451,22,168,641
"New Bedford",1,C1,85,0,26,111
"New Bedford",1,D,705,25,328,"1,058"
"New Bedford",1,E,652,12,204,868
"New Bedford",1,F,676,25,248,949
"New Bedford",2,A,92,8,16,116
"New Bedford",2,B,170,10,47,227
"New Bedford",2,C,214,8,67,289
"New Bedford",2,D,456,14,150,620
"New Bedford",2,E,538,23,220,781
"New Bedford",2,F,371,16,99,486
"New Bedford",3,A,234,13,48,295
"New Bedford",3,B,219,0,48,267
"New Bedford",3,C,175,3,66,244
"New Bedford",3,D,320,8,120,448
"New Bedford",3,E,510,19,163,692
"New Bedford",3,F,450,9,178,637
"New Bedford",3,F1,205,2,51,258
"New Bedford",4,A,122,4,25,151
"New Bedford",4,A1,142,1,29,172
"New Bedford",4,B,438,12,99,549
"New Bedford",4,C,461,7,91,559
"New Bedford",4,D,404,14,97,515
"New Bedford",4,E,361,7,102,470
"New Bedford",4,F,437,11,105,553
"New Bedford",5,A,312,8,86,406
"New Bedford",5,B,577,17,193,787
"New Bedford",5,C,480,16,172,668
"New Bedford",5,D,702,15,192,909
"New Bedford",5,E,729,19,310,"1,058"
"New Bedford",5,F,683,21,241,945
"New Bedford",6,A,576,15,213,804
"New Bedford",6,B,438,7,143,588
"New Bedford",6,C,212,8,52,272
"New Bedford",6,D,177,4,43,224
"New Bedford",6,E,217,8,49,274
"New Bedford",6,F,359,11,91,461
Westport,-,A,919,0,451,"1,370"
Westport,-,B,"1,215",0,652,"1,867"
Westport,-,C,898,0,433,"1,331"
Westport,-,D,908,0,423,"1,331"
Westport,-,E,"1,205",0,619,"1,824"
TOTALS,,,"36,709",836,"15,128","52,673"
