City/Town,Ward,Pct,"William Francis Galvin","Rayla Campbell","Juan G. Sanchez, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Green-Rainbow
Abington,-,1,700,472,23,0,14,"1,209"
Abington,-,2,677,508,30,0,18,"1,233"
Abington,-,3,778,544,21,1,28,"1,372"
Abington,-,4,821,542,19,1,21,"1,404"
Abington,-,5,817,556,21,0,24,"1,418"
Acton,-,1,819,215,27,2,9,"1,072"
Acton,-,2,"1,234",287,25,0,26,"1,572"
Acton,-,3,"1,395",296,57,1,34,"1,783"
Acton,-,4,"1,259",234,63,0,25,"1,581"
Acton,-,5,"1,262",254,29,2,24,"1,571"
Acton,-,6,870,175,27,0,18,"1,090"
Acton,-,6A,378,64,18,0,7,467
Acton,-,7,942,238,18,0,26,"1,224"
Acushnet,-,1,624,574,29,2,19,"1,248"
Acushnet,-,2,582,651,17,0,19,"1,269"
Acushnet,-,2A,67,66,4,0,0,137
Acushnet,-,3,707,751,23,1,22,"1,504"
Adams,-,1,323,130,14,0,7,474
Adams,-,2,418,189,22,0,5,634
Adams,-,3,371,196,13,0,7,587
Adams,-,4,334,162,17,0,5,518
Adams,-,5,491,175,25,0,4,695
Agawam,-,1,576,539,34,0,17,"1,166"
Agawam,-,2,846,715,34,0,37,"1,632"
Agawam,-,3,624,574,52,0,22,"1,272"
Agawam,-,4,596,483,27,2,17,"1,125"
Agawam,-,5,843,692,58,1,30,"1,624"
Agawam,-,6,725,621,30,0,36,"1,412"
Agawam,-,7,780,777,38,0,32,"1,627"
Agawam,-,8,823,675,20,0,25,"1,543"
Alford,,,209,46,4,0,13,272
Amesbury,-,1,"1,076",451,27,1,24,"1,579"
Amesbury,-,2,864,307,36,0,20,"1,227"
Amesbury,-,3,"1,013",349,32,0,18,"1,412"
Amesbury,-,4,669,296,30,0,19,"1,014"
Amesbury,-,5,864,443,16,0,21,"1,344"
Amesbury,-,6,732,284,30,0,16,"1,062"
Amherst,-,1A,592,40,79,0,10,721
Amherst,-,1B,336,29,33,0,6,404
Amherst,-,2A,408,35,29,1,8,481
Amherst,-,2B,"1,106",106,113,1,31,"1,357"
Amherst,-,3A,372,44,21,1,16,454
Amherst,-,3B,"1,015",81,107,1,25,"1,229"
Amherst,-,4A,538,33,61,0,6,638
Amherst,-,4B,333,15,35,0,5,388
Amherst,-,5A,402,23,36,0,12,473
Amherst,-,5B,"1,758",123,101,2,31,"2,015"
Andover,-,1,803,254,32,0,14,"1,103"
Andover,-,2,"1,065",458,33,2,25,"1,583"
Andover,-,3,"1,227",478,62,1,35,"1,803"
Andover,-,4,657,312,13,0,13,995
Andover,-,4A,299,132,16,1,8,456
Andover,-,5,"1,062",514,22,0,28,"1,626"
Andover,-,6,974,498,32,0,19,"1,523"
Andover,-,7,"1,135",538,27,1,34,"1,735"
Andover,-,8,"1,194",458,41,2,38,"1,733"
Andover,-,9,"1,017",456,33,2,19,"1,527"
Andover,-,10,"1,144",503,31,2,32,"1,712"
Aquinnah,,,223,28,9,0,3,263
Arlington,-,1,619,94,34,0,12,759
Arlington,-,2,915,133,46,1,22,"1,117"
Arlington,-,3,898,84,51,0,17,"1,050"
Arlington,-,4,804,78,73,1,20,976
Arlington,-,5,934,121,53,0,18,"1,126"
Arlington,-,6,824,95,66,0,20,"1,005"
Arlington,-,7,825,111,55,0,13,"1,004"
Arlington,-,8,968,144,51,0,30,"1,193"
Arlington,-,9,748,105,32,0,8,893
Arlington,-,10,"1,027",103,45,1,25,"1,201"
Arlington,-,11,949,224,40,1,17,"1,231"
Arlington,-,12,"1,064",146,37,2,21,"1,270"
Arlington,-,13,881,222,26,3,16,"1,148"
Arlington,-,14,826,116,46,0,21,"1,009"
Arlington,-,15,835,128,32,1,14,"1,010"
Arlington,-,16,912,150,42,2,25,"1,131"
Arlington,-,17,715,95,33,0,17,860
Arlington,-,18,866,195,27,0,31,"1,119"
Arlington,-,19,926,156,36,0,13,"1,131"
Arlington,-,20,797,139,42,2,27,"1,007"
Arlington,-,21,931,107,60,0,13,"1,111"
Ashburnham,-,1,763,637,43,0,23,"1,466"
Ashburnham,-,2,788,546,30,1,16,"1,381"
Ashby,,,772,636,35,0,23,"1,466"
Ashfield,,,744,153,66,0,13,976
Ashland,-,1,780,293,22,0,19,"1,114"
Ashland,-,2,"1,150",354,17,0,29,"1,550"
Ashland,-,3,767,249,18,0,17,"1,051"
Ashland,-,4,801,284,23,0,26,"1,134"
Ashland,-,5,931,284,27,0,21,"1,263"
Ashland,-,6,949,335,37,0,14,"1,335"
Athol,-,1,733,578,41,0,19,"1,371"
Athol,-,2,607,542,21,2,17,"1,189"
Athol,-,3,645,433,37,1,12,"1,128"
Attleboro,1,A,680,500,29,0,23,"1,232"
Attleboro,1,B,710,513,23,0,26,"1,272"
Attleboro,2,A,885,530,30,0,23,"1,468"
Attleboro,2,B,732,494,38,0,27,"1,291"
Attleboro,3,A,846,412,36,1,16,"1,311"
Attleboro,3,B,913,496,38,0,11,"1,458"
Attleboro,4,A,742,358,33,0,25,"1,158"
Attleboro,4,B,"1,035",712,29,0,26,"1,802"
Attleboro,5,A,522,216,30,0,11,779
Attleboro,5,B,810,449,43,0,24,"1,326"
Attleboro,6,A,723,498,30,0,20,"1,271"
Attleboro,6,B,858,528,38,0,21,"1,445"
Auburn,-,1,943,515,26,1,8,"1,493"
Auburn,-,2,836,541,34,0,26,"1,437"
Auburn,-,3,974,576,20,0,21,"1,591"
Auburn,-,4,843,440,45,0,20,"1,348"
Auburn,-,5,794,486,35,0,17,"1,332"
Avon,,,"1,016",592,36,1,20,"1,665"
Ayer,-,1,707,300,39,0,12,"1,058"
Ayer,-,2,813,418,33,0,17,"1,281"
Ayer,-,3,609,262,33,0,14,918
Barnstable,-,1,"1,386",691,32,0,29,"2,138"
Barnstable,-,2,"1,219",690,28,2,21,"1,960"
Barnstable,-,3,835,443,16,1,19,"1,314"
Barnstable,-,4,"1,177",603,18,1,20,"1,819"
Barnstable,-,5,"1,256",875,22,0,31,"2,184"
Barnstable,-,6,"1,138",718,32,0,19,"1,907"
Barnstable,-,7,"1,372",792,47,0,24,"2,235"
Barnstable,-,8,650,369,13,1,8,"1,041"
Barnstable,-,9,342,202,19,2,6,571
Barnstable,-,10,893,699,32,0,23,"1,647"
Barnstable,-,11,"1,167",798,34,2,27,"2,028"
Barnstable,-,12,"1,113",799,36,0,20,"1,968"
Barnstable,-,13,696,381,22,0,15,"1,114"
Barre,-,1,615,496,35,0,12,"1,158"
Barre,-,2,496,510,35,0,10,"1,051"
Becket,,,517,256,29,0,13,815
Bedford,-,1,"1,333",384,58,0,25,"1,800"
Bedford,-,2,734,295,22,1,18,"1,070"
Bedford,-,2A,228,95,14,0,3,340
Bedford,-,3,"1,332",405,36,2,22,"1,797"
Bedford,-,4,"1,233",350,33,0,23,"1,639"
Belchertown,-,A,"1,114",541,65,0,26,"1,746"
Belchertown,-,B,"1,001",650,43,0,26,"1,720"
Belchertown,-,C,"1,079",673,45,0,23,"1,820"
Belchertown,-,D,"1,169",422,76,0,25,"1,692"
Bellingham,-,1,723,459,21,1,18,"1,222"
Bellingham,-,2,867,595,21,0,22,"1,505"
Bellingham,-,3,916,564,25,0,13,"1,518"
Bellingham,-,4,705,557,25,0,23,"1,310"
Bellingham,-,5,635,505,24,0,17,"1,181"
Belmont,-,1,"1,190",247,42,1,55,"1,535"
Belmont,-,2,"1,291",405,28,1,53,"1,778"
Belmont,-,3,"1,128",232,43,0,54,"1,457"
Belmont,-,4,953,211,51,0,37,"1,252"
Belmont,-,5,"1,107",244,55,0,31,"1,437"
Belmont,-,6,"1,437",259,59,0,50,"1,805"
Belmont,-,7,"1,133",233,64,1,35,"1,466"
Belmont,-,8,"1,046",300,31,0,56,"1,433"
Berkley,-,1,732,760,31,0,33,"1,556"
Berkley,-,2,580,649,16,1,17,"1,263"
Berlin,,,"1,136",638,58,0,28,"1,860"
Bernardston,,,674,270,26,0,15,985
Beverly,1,1,876,388,26,2,26,"1,318"
Beverly,1,2,"1,213",483,42,3,22,"1,763"
Beverly,2,1,"1,018",275,59,3,23,"1,378"
Beverly,2,2,"1,107",315,74,0,24,"1,520"
Beverly,3,1,627,192,62,0,23,904
Beverly,3,2,938,372,39,0,21,"1,370"
Beverly,4,1,618,212,13,0,22,865
Beverly,4,2,"1,540",376,44,2,33,"1,995"
Beverly,5,1,"1,099",441,32,1,30,"1,603"
Beverly,5,2,945,419,37,1,22,"1,424"
Beverly,6,1,"1,303",437,50,0,26,"1,816"
Beverly,6,2,"1,280",583,36,2,16,"1,917"
Billerica,-,1,740,369,21,2,9,"1,141"
Billerica,-,2,906,564,34,0,28,"1,532"
Billerica,-,3,845,576,20,0,17,"1,458"
Billerica,-,4,791,477,24,0,21,"1,313"
Billerica,-,5,"1,037",729,23,0,27,"1,816"
Billerica,-,6,791,496,29,1,25,"1,342"
Billerica,-,7,861,481,25,1,18,"1,386"
Billerica,-,8,805,560,29,0,25,"1,419"
Billerica,-,9,857,662,32,0,25,"1,576"
Billerica,-,10,948,694,19,0,30,"1,691"
Billerica,-,11,705,493,37,0,19,"1,254"
Billerica,-,12,843,494,44,1,33,"1,415"
Blackstone,-,1,522,432,15,0,13,982
Blackstone,-,2,592,504,14,0,19,"1,129"
Blackstone,-,3,612,602,23,0,19,"1,256"
Blandford,,,273,327,15,0,3,618
Bolton,,,"1,958",799,73,1,55,"2,886"
Boston,1,1,557,116,45,0,21,739
Boston,1,2,360,88,32,1,13,494
