City/Town,Ward,Pct,"Donna D. Buckley","Timothy R. Whelan","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Barnstable,-,1,"1,044","1,059",0,35,"2,138"
Barnstable,-,2,890,"1,031",0,39,"1,960"
Barnstable,-,3,656,634,0,24,"1,314"
Barnstable,-,4,853,926,0,40,"1,819"
Barnstable,-,5,872,"1,273",1,38,"2,184"
Barnstable,-,6,823,"1,065",1,18,"1,907"
Barnstable,-,7,"1,100","1,087",1,47,"2,235"
Barnstable,-,8,527,499,1,14,"1,041"
Barnstable,-,9,304,258,1,8,571
Barnstable,-,10,672,954,0,21,"1,647"
Barnstable,-,11,874,"1,126",2,26,"2,028"
Barnstable,-,12,870,"1,070",0,28,"1,968"
Barnstable,-,13,571,523,0,20,"1,114"
Bourne,-,1,578,809,1,47,"1,435"
Bourne,-,2,634,794,1,49,"1,478"
Bourne,-,3,277,382,0,16,675
Bourne,-,4,835,784,0,50,"1,669"
Bourne,-,5,625,633,0,46,"1,304"
Bourne,-,5A,114,128,0,6,248
Bourne,-,6,653,524,0,31,"1,208"
Bourne,-,7,565,576,1,29,"1,171"
Brewster,-,1,"1,058","1,056",1,25,"2,140"
Brewster,-,2,"1,005",868,0,29,"1,902"
Brewster,-,3,988,952,1,13,"1,954"
Chatham,-,1,"1,032",955,0,42,"2,029"
Chatham,-,2,997,985,0,63,"2,045"
Dennis,-,1,819,"1,166",0,41,"2,026"
Dennis,-,2,894,"1,172",0,33,"2,099"
Dennis,-,3,585,593,1,24,"1,203"
Dennis,-,4,784,968,1,34,"1,787"
Dennis,-,5,621,863,0,15,"1,499"
Eastham,,,"2,035","1,272",0,79,"3,386"
Falmouth,-,1,"1,518",573,0,55,"2,146"
Falmouth,-,2,"1,171",665,0,48,"1,884"
Falmouth,-,3,"1,032",800,2,35,"1,869"
Falmouth,-,4,986,950,0,39,"1,975"
Falmouth,-,5,"1,276",871,0,56,"2,203"
Falmouth,-,6,"1,176",828,1,47,"2,052"
Falmouth,-,7,952,882,1,41,"1,876"
Falmouth,-,8,943,889,0,40,"1,872"
Falmouth,-,9,876,756,0,36,"1,668"
Harwich,-,1,"1,134",979,1,53,"2,167"
Harwich,-,2,929,920,1,24,"1,874"
Harwich,-,3,894,899,0,32,"1,825"
Harwich,-,4,788,795,0,28,"1,611"
Mashpee,-,1,931,740,0,36,"1,707"
Mashpee,-,2,649,717,0,32,"1,398"
Mashpee,-,3,617,702,0,25,"1,344"
Mashpee,-,4,752,598,0,26,"1,376"
Mashpee,-,5,"1,019","1,139",0,57,"2,215"
Orleans,-,1,"1,192",756,0,49,"1,997"
Orleans,-,2,"1,093",904,1,41,"2,039"
Provincetown,,,"2,040",169,1,27,"2,237"
Sandwich,-,1,"1,050",955,3,51,"2,059"
Sandwich,-,2,958,935,2,38,"1,933"
Sandwich,-,3,793,876,2,41,"1,712"
Sandwich,-,4,810,960,1,39,"1,810"
Sandwich,-,5,702,846,2,36,"1,586"
Sandwich,-,6,607,940,1,30,"1,578"
Truro,,,"1,117",344,0,29,"1,490"
Wellfleet,,,"1,461",529,1,41,"2,032"
Yarmouth,-,1,869,937,0,31,"1,837"
Yarmouth,-,2,744,917,0,26,"1,687"
Yarmouth,-,3,502,626,0,17,"1,145"
Yarmouth,-,4,634,799,2,24,"1,459"
Yarmouth,-,5,569,719,0,22,"1,310"
Yarmouth,-,6,688,644,1,23,"1,356"
Yarmouth,-,7,899,"1,008",2,32,"1,941"
Yarmouth,-,8,508,548,0,29,"1,085"
Yarmouth,-,8A,90,101,0,3,194
TOTALS,,,"60,124","56,201",39,"2,369","118,733"
