City/Town,Ward,Pct,"Paul R. Heroux","Thomas M. Hodgson","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Acushnet,-,1,549,682,0,17,"1,248"
Acushnet,-,2,501,747,0,21,"1,269"
Acushnet,-,2A,62,73,0,2,137
Acushnet,-,3,620,866,0,18,"1,504"
Attleboro,1,A,594,621,2,15,"1,232"
Attleboro,1,B,647,608,1,16,"1,272"
Attleboro,2,A,765,681,0,22,"1,468"
Attleboro,2,B,674,593,0,24,"1,291"
Attleboro,3,A,754,531,1,25,"1,311"
Attleboro,3,B,802,646,3,7,"1,458"
Attleboro,4,A,647,486,0,25,"1,158"
Attleboro,4,B,810,974,0,18,"1,802"
Attleboro,5,A,514,257,0,8,779
Attleboro,5,B,706,598,2,20,"1,326"
Attleboro,6,A,671,586,0,14,"1,271"
Attleboro,6,B,750,678,0,17,"1,445"
Berkley,-,1,569,962,1,24,"1,556"
Berkley,-,2,429,819,0,15,"1,263"
Dartmouth,-,1,639,894,1,24,"1,558"
Dartmouth,-,2,534,535,0,15,"1,084"
Dartmouth,-,3,81,101,0,2,184
Dartmouth,-,4,668,704,2,18,"1,392"
Dartmouth,-,5,803,713,3,21,"1,540"
Dartmouth,-,6,607,622,0,23,"1,252"
Dartmouth,-,7,838,757,1,23,"1,619"
Dartmouth,-,8,"1,240",802,1,32,"2,075"
Dartmouth,-,9,"1,215",844,2,41,"2,102"
Dighton,-,1,432,653,0,26,"1,111"
Dighton,-,2,446,657,0,17,"1,120"
Dighton,-,3,410,577,1,15,"1,003"
Easton,-,1,902,793,3,84,"1,782"
Easton,-,2,849,678,1,83,"1,611"
Easton,-,3,337,309,0,33,679
Easton,-,4A,379,385,0,36,800
Easton,-,4B,413,457,0,40,910
Easton,-,5,792,619,1,59,"1,471"
Easton,-,6,720,797,0,46,"1,563"
Easton,-,7,706,698,1,49,"1,454"
Fairhaven,-,1,749,432,0,22,"1,203"
Fairhaven,-,2,657,472,0,17,"1,146"
Fairhaven,-,3,425,425,0,10,860
Fairhaven,-,4,620,536,0,14,"1,170"
Fairhaven,-,5,635,629,0,17,"1,281"
