City/Town,Ward,Pct,"Patrick W. McDermott","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Avon,,,"1,170",8,487,"1,665"
Bellingham,-,1,815,19,388,"1,222"
Bellingham,-,2,941,28,536,"1,505"
Bellingham,-,3,"1,013",44,461,"1,518"
Bellingham,-,4,854,27,429,"1,310"
Bellingham,-,5,773,28,380,"1,181"
Braintree,-,1A,889,14,412,"1,315"
Braintree,-,1B,710,19,429,"1,158"
Braintree,-,2A,940,22,377,"1,339"
Braintree,-,2B,852,21,419,"1,292"
Braintree,-,3A,750,15,302,"1,067"
Braintree,-,3B,797,18,340,"1,155"
Braintree,-,4A,788,21,360,"1,169"
Braintree,-,4B,752,16,285,"1,053"
Braintree,-,5A,804,17,428,"1,249"
Braintree,-,5B,921,16,412,"1,349"
Braintree,-,6A,990,18,479,"1,487"
Braintree,-,6B,995,12,419,"1,426"
Brookline,-,1,875,12,243,"1,130"
Brookline,-,2,551,6,145,702
Brookline,-,3,"1,019",10,245,"1,274"
Brookline,-,4,766,14,212,992
Brookline,-,5,502,3,145,650
Brookline,-,5A,526,4,158,688
Brookline,-,6,"1,121",9,312,"1,442"
Brookline,-,7,937,9,256,"1,202"
Brookline,-,8,"1,011",11,251,"1,273"
Brookline,-,9,"1,049",4,291,"1,344"
Brookline,-,10,"1,055",8,262,"1,325"
Brookline,-,11,"1,098",4,285,"1,387"
Brookline,-,12,"1,162",11,315,"1,488"
Brookline,-,13,925,16,253,"1,194"
Brookline,-,13A,167,2,44,213
Brookline,-,14,884,13,326,"1,223"
Brookline,-,14A,231,1,94,326
Brookline,-,15,"1,107",2,422,"1,531"
Brookline,-,16,"1,030",8,331,"1,369"
Brookline,-,17,927,9,214,"1,150"
Canton,-,1,958,10,349,"1,317"
Canton,-,2,"1,309",15,474,"1,798"
Canton,-,3,778,2,311,"1,091"
Canton,-,4,"1,095",7,490,"1,592"
Canton,-,5,"1,170",8,488,"1,666"
Canton,-,6,"1,023",10,357,"1,390"
Canton,-,7,"1,102",12,422,"1,536"
Cohasset,-,1,982,14,416,"1,412"
Cohasset,-,2,997,10,445,"1,452"
Cohasset,-,3,"1,043",8,393,"1,444"
Dedham,-,1,"1,154",8,497,"1,659"
Dedham,-,2,"1,198",18,517,"1,733"
Dedham,-,3,867,16,307,"1,190"
Dedham,-,4,"1,019",13,462,"1,494"
Dedham,-,5,"1,133",24,573,"1,730"
Dedham,-,6,"1,086",19,500,"1,605"
Dedham,-,7,"1,208",21,607,"1,836"
Dover,,,"2,015",57,974,"3,046"
Foxborough,-,1,896,10,437,"1,343"
Foxborough,-,2,"1,272",12,625,"1,909"
Foxborough,-,3,968,9,584,"1,561"
Foxborough,-,4,"1,161",15,526,"1,702"
Foxborough,-,5,"1,017",6,537,"1,560"
Franklin,-,1,"1,089",31,483,"1,603"
Franklin,-,2,964,25,406,"1,395"
Franklin,-,3,"1,153",41,413,"1,607"
Franklin,-,4,"1,211",35,532,"1,778"
Franklin,-,5,"1,194",28,479,"1,701"
Franklin,-,6,"1,142",34,466,"1,642"
Franklin,-,7,"1,307",43,557,"1,907"
Franklin,-,8,"1,196",47,564,"1,807"
Franklin,-,9,868,38,311,"1,217"
Holbrook,-,1,687,22,235,944
Holbrook,-,2,722,17,349,"1,088"
Holbrook,-,3,695,11,263,969
Holbrook,-,4,628,22,255,905
Medfield,-,1,"1,210",21,426,"1,657"
Medfield,-,2,"1,091",24,408,"1,523"
Medfield,-,3,"1,165",25,437,"1,627"
Medfield,-,4,"1,089",14,443,"1,546"
Medway,-,1,"1,011",30,411,"1,452"
Medway,-,2,"1,125",42,388,"1,555"
Medway,-,3,"1,175",34,446,"1,655"
Medway,-,4,"1,086",26,435,"1,547"
Millis,-,1,961,0,372,"1,333"
Millis,-,2,944,0,449,"1,393"
Millis,-,3,"1,246",0,527,"1,773"
Milton,-,1,910,5,233,"1,148"
Milton,-,2,"1,030",5,365,"1,400"
Milton,-,3,964,8,440,"1,412"
Milton,-,4,567,10,218,795
Milton,-,4A,352,6,106,464
Milton,-,5,757,13,358,"1,128"
Milton,-,6,941,8,439,"1,388"
Milton,-,7,860,7,397,"1,264"
Milton,-,8,"1,001",12,432,"1,445"
Milton,-,9,915,13,531,"1,459"
Milton,-,10,716,3,215,934
Needham,-,A,976,16,303,"1,295"
Needham,-,B,"1,171",22,366,"1,559"
Needham,-,C,"1,178",20,355,"1,553"
Needham,-,D,"1,097",19,356,"1,472"
Needham,-,E,"1,215",20,406,"1,641"
Needham,-,F,"1,113",18,370,"1,501"
Needham,-,G,"1,231",17,411,"1,659"
Needham,-,H,"1,201",18,397,"1,616"
Needham,-,I,"1,353",13,344,"1,710"
Needham,-,J,"1,173",20,299,"1,492"
Norfolk,-,1,605,20,281,906
Norfolk,-,2,"1,064",59,509,"1,632"
Norfolk,-,3,932,30,425,"1,387"
Norfolk,-,4,994,21,437,"1,452"
Norwood,-,1,"1,003",14,394,"1,411"
Norwood,-,2,906,12,366,"1,284"
Norwood,-,3,"1,003",20,408,"1,431"
Norwood,-,4,"1,099",19,518,"1,636"
Norwood,-,5,628,10,204,842
Norwood,-,6,675,12,307,994
Norwood,-,7,937,26,366,"1,329"
Norwood,-,8,"1,056",26,408,"1,490"
Norwood,-,9,"1,001",29,436,"1,466"
Plainville,-,1,858,18,378,"1,254"
Plainville,-,2,987,25,398,"1,410"
Plainville,-,3,"1,016",42,460,"1,518"
Quincy,1,1,682,19,173,874
Quincy,1,2,578,8,190,776
Quincy,1,3,752,17,201,970
Quincy,1,4,"1,160",38,408,"1,606"
Quincy,1,5,"1,166",28,382,"1,576"
Quincy,2,1,565,12,157,734
Quincy,2,2,623,11,160,794
Quincy,2,3,469,11,116,596
Quincy,2,4,559,13,175,747
Quincy,2,5,804,12,217,"1,033"
Quincy,3,1,975,19,253,"1,247"
Quincy,3,2,816,14,229,"1,059"
Quincy,3,3,674,15,190,879
Quincy,3,4,994,18,298,"1,310"
Quincy,3,5,585,12,146,743
Quincy,4,1,693,9,171,873
Quincy,4,2,910,17,269,"1,196"
Quincy,4,3,976,25,304,"1,305"
Quincy,4,4,594,17,122,733
Quincy,4,5,631,16,143,790
Quincy,5,1,360,6,94,460
Quincy,5,1A,240,5,75,320
Quincy,5,2,731,13,181,925
Quincy,5,3,930,14,211,"1,155"
Quincy,5,4,684,17,181,882
Quincy,5,5,951,19,263,"1,233"
Quincy,6,1,757,16,181,954
Quincy,6,2,609,17,137,763
Quincy,6,3,885,12,289,"1,186"
Quincy,6,4,667,11,175,853
Quincy,6,5,"1,350",24,387,"1,761"
Randolph,-,1,785,13,235,"1,033"
Randolph,-,2,634,7,157,798
Randolph,-,3,527,11,133,671
Randolph,-,4,678,14,193,885
Randolph,-,5,711,15,184,910
Randolph,-,6,395,7,68,470
Randolph,-,7,603,11,163,777
Randolph,-,8,587,13,170,770
Randolph,-,9,677,12,156,845
Randolph,-,10,687,12,171,870
Randolph,-,11,621,17,210,848
Randolph,-,12,608,16,145,769
Sharon,-,1,"1,312",20,396,"1,728"
Sharon,-,2,"1,150",11,368,"1,529"
Sharon,-,3,"1,267",17,407,"1,691"
Sharon,-,4,"1,229",23,349,"1,601"
Sharon,-,5,"1,147",25,419,"1,591"
Stoughton,-,1,890,9,356,"1,255"
Stoughton,-,2,829,6,326,"1,161"
Stoughton,-,2A,123,0,39,162
Stoughton,-,3,987,3,386,"1,376"
Stoughton,-,4,"1,081",1,516,"1,598"
Stoughton,-,4A,70,1,32,103
Stoughton,-,5,815,12,324,"1,151"
Stoughton,-,5A,69,1,26,96
Stoughton,-,6,"1,015",0,409,"1,424"
Stoughton,-,7,944,3,290,"1,237"
Stoughton,-,7A,47,0,13,60
Stoughton,-,8,613,4,220,837
Stoughton,-,8A,40,0,19,59
Walpole,-,1,"1,006",15,388,"1,409"
Walpole,-,2,"1,041",7,574,"1,622"
Walpole,-,2A,21,0,7,28
Walpole,-,3,"1,214",15,598,"1,827"
Walpole,-,4,852,8,371,"1,231"
Walpole,-,5,823,9,394,"1,226"
Walpole,-,5A,34,0,40,74
Walpole,-,6,"1,080",14,465,"1,559"
Walpole,-,7,"1,018",7,547,"1,572"
Walpole,-,8,995,18,565,"1,578"
Wellesley,-,A,"1,189",17,445,"1,651"
Wellesley,-,B,"1,322",10,449,"1,781"
Wellesley,-,C,"1,160",13,652,"1,825"
Wellesley,-,D,"1,225",5,453,"1,683"
Wellesley,-,E,"1,148",11,413,"1,572"
Wellesley,-,F,779,3,279,"1,061"
Wellesley,-,G,610,2,227,839
