City/Town,Ward,Pct,"William M. Straus","Jeffrey Gerald Swift","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Acushnet,-,1,594,625,0,29,"1,248"
Acushnet,-,2A,66,70,0,1,137
Fairhaven,-,1,801,365,0,37,"1,203"
Fairhaven,-,2,702,420,0,24,"1,146"
Fairhaven,-,3,481,359,0,20,860
Fairhaven,-,4,662,487,0,21,"1,170"
Fairhaven,-,5,686,569,0,26,"1,281"
Fairhaven,-,6,585,550,2,35,"1,172"
Marion,,,"1,737",996,0,80,"2,813"
Mattapoisett,-,1,"1,048",808,2,37,"1,895"
Mattapoisett,-,2,"1,104",749,1,36,"1,890"
"New Bedford",1,A,408,299,0,36,743
"New Bedford",1,B,436,383,1,54,874
"New Bedford",1,C1,71,36,0,4,111
Rochester,,,"1,267","1,564",1,57,"2,889"
TOTALS,,,"10,648","8,280",7,497,"19,432"
