City/Town,Ward,Pct,"Jeffrey N. Roy","Charles F. Bailey, III","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Franklin,-,1,"1,013",554,0,36,"1,603"
Franklin,-,2,861,499,0,35,"1,395"
Franklin,-,3,"1,000",572,1,34,"1,607"
Franklin,-,4,"1,038",711,1,28,"1,778"
Franklin,-,5,"1,094",567,0,40,"1,701"
Franklin,-,6,"1,087",511,3,41,"1,642"
Franklin,-,7,"1,236",624,2,45,"1,907"
Franklin,-,8,"1,084",684,0,39,"1,807"
Franklin,-,9,774,407,1,35,"1,217"
Medway,-,2,954,554,2,45,"1,555"
Medway,-,3,993,598,4,60,"1,655"
Medway,-,4,911,571,2,63,"1,547"
TOTALS,,,"12,045","6,852",16,501,"19,414"
