City/Town,Ward,Pct,"Edward Francis Coppinger","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,10,9A,0,0,0,0
Boston,19,2,802,0,293,"1,095"
Boston,19,3,451,0,119,570
Boston,19,8,575,0,204,779
Boston,20,1,711,0,255,966
Boston,20,2,714,0,220,934
Boston,20,4,681,0,208,889
Boston,20,5,721,0,266,987
Boston,20,6,879,0,277,"1,156"
Boston,20,7,533,0,137,670
Boston,20,8,614,0,164,778
Boston,20,9,630,0,181,811
Boston,20,10,944,0,289,"1,233"
Boston,20,11,449,0,135,584
Boston,20,12,561,0,195,756
Boston,20,13,487,0,172,659
Boston,20,14,515,0,153,668
Boston,20,15,783,0,295,"1,078"
Boston,20,16,851,0,302,"1,153"
Boston,20,17,975,0,335,"1,310"
Boston,20,18,521,0,157,678
Boston,20,19,530,0,176,706
Boston,20,20,819,0,235,"1,054"
Brookline,,,"1,071",7,291,"1,369"
TOTALS,,,"15,817",7,"5,059","20,883"
