City/Town,Ward,Pct,"Norman J. Orrall","All Others",Blanks,"Total Votes Cast"
,,,Republican
Berkley,-,1,"1,113",29,414,"1,556"
Berkley,-,2,963,18,282,"1,263"
Lakeville,-,1,"1,425",25,369,"1,819"
Lakeville,-,2,"1,488",24,435,"1,947"
Lakeville,-,3,"1,379",35,370,"1,784"
Middleborough,-,2,812,4,315,"1,131"
Middleborough,-,4,693,7,247,947
Middleborough,-,5,963,7,310,"1,280"
Middleborough,-,7,706,9,251,966
Taunton,3,A,503,7,440,950
Taunton,3,B,768,7,444,"1,219"
Taunton,4,A,811,6,410,"1,227"
Taunton,4,B,746,8,390,"1,144"
TOTALS,,,"12,370",186,"4,677","17,233"
