City/Town,Ward,Pct,"Angelo J. Puppolo, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"E. Longmeadow",-,1,"1,069",36,311,"1,416"
"E. Longmeadow",-,2A,25,2,13,40
"E. Longmeadow",-,3A,56,3,13,72
"E. Longmeadow",-,4A,185,1,80,266
Monson,,,792,0,441,"1,233"
Springfield,5,D,644,20,188,852
Springfield,5,G,673,19,182,874
Springfield,7,B,796,19,145,960
Springfield,7,C,740,21,136,897
Springfield,7,D,543,20,140,703
Springfield,7,E,332,7,59,398
Springfield,7,F,748,19,182,949
Springfield,7,G,774,26,177,977
Springfield,7,H1,59,0,14,73
Springfield,8,B1,32,1,13,46
Springfield,8,G,383,10,103,496
Wilbraham,-,A,"1,268",31,399,"1,698"
Wilbraham,-,B,"1,175",35,341,"1,551"
Wilbraham,-,C,"1,229",36,431,"1,696"
Wilbraham,-,D,"1,359",34,395,"1,788"
TOTALS,,,"12,882",340,"3,763","16,985"
