City/Town,Ward,Pct,"Kathleen R. Lanatra","Eric J. Meschino","Charles F. McCoy, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled
Halifax,-,1,809,864,74,1,60,"1,808"
Halifax,-,2A,23,48,3,0,1,75
Kingston,-,1,811,549,80,0,42,"1,482"
Kingston,-,2,876,711,90,0,41,"1,718"
Kingston,-,3,853,688,80,1,16,"1,638"
Kingston,-,4,801,557,93,0,25,"1,476"
Middleborough,-,1,930,984,56,0,95,"2,065"
Middleborough,-,5A,92,151,5,0,14,262
Pembroke,,,817,786,84,2,50,"1,739"
Plymouth,-,1,604,410,40,1,22,"1,077"
Plymouth,-,2,776,518,41,0,40,"1,375"
Plymouth,-,3,854,488,55,0,54,"1,451"
Plymouth,-,5,773,618,41,0,48,"1,480"
Plymouth,-,13,873,726,40,0,46,"1,685"
Plympton,,,711,669,74,0,39,"1,493"
TOTALS,,,"10,603","8,767",856,5,593,"20,824"
