City/Town,Ward,Pct,"Meghan Kilcoyne","Michael A. Vulcano","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Berlin,,,"1,095",696,2,67,"1,860"
Boylston,,,"1,518","1,046",0,69,"2,633"
Clinton,-,1,921,492,0,52,"1,465"
Clinton,-,2,697,346,1,17,"1,061"
Clinton,-,3,882,502,0,38,"1,422"
Clinton,-,4,747,447,1,29,"1,224"
Lancaster,-,1,709,589,0,50,"1,348"
Lancaster,-,2,"1,048",679,1,57,"1,785"
Northborough,,,"1,121",701,1,61,"1,884"
Sterling,-,1,"1,116",871,2,62,"2,051"
Sterling,-,2,"1,190",878,1,61,"2,130"
TOTALS,,,"11,044","7,247",9,563,"18,863"
