City/Town,Ward,Pct,"Antonio d. F. Cabral","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"New Bedford",3,E,507,23,162,692
"New Bedford",3,F,459,12,166,637
"New Bedford",4,A,125,3,23,151
"New Bedford",4,E,361,7,102,470
"New Bedford",5,A,324,7,75,406
"New Bedford",5,B,590,22,175,787
"New Bedford",5,C,472,17,179,668
"New Bedford",5,D,721,17,171,909
"New Bedford",5,E,725,23,310,"1,058"
"New Bedford",5,F,700,26,219,945
"New Bedford",6,A,576,26,202,804
"New Bedford",6,B,448,11,129,588
"New Bedford",6,C,210,9,53,272
"New Bedford",6,D,182,4,38,224
"New Bedford",6,E,221,6,47,274
"New Bedford",6,F,356,12,93,461
TOTALS,,,"6,977",225,"2,144","9,346"
