City/Town,Ward,Pct,"Adam J. Scanlon","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Attleboro,,,"1,022",10,426,"1,458"
Mansfield,-,1,"1,027",20,524,"1,571"
Mansfield,-,2A,308,1,133,442
Mansfield,-,5,955,0,358,"1,313"
"N. Attleborough",-,1,641,9,226,876
"N. Attleborough",-,2,921,16,361,"1,298"
"N. Attleborough",-,3,870,6,479,"1,355"
"N. Attleborough",-,4,774,18,254,"1,046"
"N. Attleborough",-,5,824,14,323,"1,161"
"N. Attleborough",-,6,"1,009",20,403,"1,432"
"N. Attleborough",-,7,"1,083",16,533,"1,632"
"N. Attleborough",-,8,936,24,421,"1,381"
"N. Attleborough",-,9,842,15,382,"1,239"
TOTALS,,,"11,212",169,"4,823","16,204"
