City/Town,Ward,Pct,"Adrianne Ramos","Joseph G. Finn","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Amesbury,-,1,906,597,0,76,"1,579"
Amesbury,-,6,651,378,2,31,"1,062"
Boxford,-,2,754,682,0,28,"1,464"
Boxford,-,3,645,680,2,45,"1,372"
Groveland,-,1,799,877,0,36,"1,712"
Groveland,-,2,762,854,2,45,"1,663"
"N. Andover",-,1,709,555,1,28,"1,293"
"N. Andover",-,2,857,669,3,32,"1,561"
"N. Andover",-,3,770,647,0,37,"1,454"
"N. Andover",-,4,"1,103",864,2,70,"2,039"
"N. Andover",-,5,460,390,0,17,867
"N. Andover",-,6,977,935,0,32,"1,944"
"W. Newbury",,,"1,486","1,033",0,67,"2,586"
TOTALS,,,"10,879","9,161",12,544,"20,596"
