City/Town,Ward,Pct,"Michelle Ciccolo","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lexington,-,1,"1,214",16,298,"1,528"
Lexington,-,2,"1,424",15,327,"1,766"
Lexington,-,3,"1,125",7,236,"1,368"
Lexington,-,4,"1,404",9,328,"1,741"
Lexington,-,5,"1,233",21,361,"1,615"
Lexington,-,7,"1,318",23,356,"1,697"
Lexington,-,8,"1,263",22,305,"1,590"
Lexington,-,9,"1,393",22,307,"1,722"
Winchester,,,864,17,469,"1,350"
Woburn,1,1,581,5,333,919
Woburn,1,2,643,14,352,"1,009"
Woburn,7,1,788,3,653,"1,444"
Woburn,7,2,873,5,587,"1,465"
TOTALS,,,"14,123",179,"4,912","19,214"
