City/Town,Ward,Pct,"Samantha Montaño","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,10,4,417,6,190,613
Boston,10,5,360,9,72,441
Boston,10,6,388,10,72,470
Boston,10,7,452,3,84,539
Boston,10,8,754,14,159,927
Boston,10,9,939,8,148,"1,095"
Boston,11,4,685,18,116,819
Boston,11,5,556,31,95,682
Boston,11,6,600,2,86,688
Boston,11,7,791,6,99,896
Boston,11,8,"1,107",9,125,"1,241"
Boston,11,9,562,4,83,649
Boston,11,10,680,6,89,775
Boston,19,1,720,4,103,827
Boston,19,4,"1,014",3,132,"1,149"
Boston,19,5,695,1,133,829
Boston,19,6,"1,057",9,159,"1,225"
Boston,19,7,795,8,109,912
Boston,19,9,458,3,85,546
TOTALS,,,"13,030",154,"2,139","15,323"
