City/Town,Ward,Pct,"Francisco E. Paulino","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lawrence,A,2A,2,1,0,3
Lawrence,A,3,258,21,89,368
Lawrence,A,4,388,7,79,474
Lawrence,E,1A,14,1,6,21
Lawrence,E,2,556,32,215,803
Lawrence,E,3,385,14,72,471
Lawrence,E,4,304,11,60,375
Lawrence,F,1,585,19,186,790
Lawrence,F,2,287,9,41,337
Lawrence,F,3,354,14,66,434
Lawrence,F,4,374,16,66,456
Methuen,-,3,696,32,345,"1,073"
Methuen,-,7,871,39,465,"1,375"
Methuen,-,13A,289,8,118,415
TOTALS,,,"5,363",224,"1,808","7,395"
