City/Town,Ward,Pct,"Tram T. Nguyen","Jeffrey Peter Dufour","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Andover,-,1,794,288,0,21,"1,103"
Andover,-,4A,281,152,2,21,456
Andover,-,5,995,594,1,36,"1,626"
Andover,-,6,915,574,1,33,"1,523"
Andover,-,7,"1,078",627,0,30,"1,735"
Andover,-,8,"1,155",538,3,37,"1,733"
Andover,-,9,971,528,3,25,"1,527"
Andover,-,10,"1,075",590,2,45,"1,712"
Boxford,,,748,564,2,17,"1,331"
"N. Andover",-,7,"1,060",611,0,37,"1,708"
"N. Andover",-,8,943,787,0,30,"1,760"
Tewksbury,-,3,704,838,2,27,"1,571"
Tewksbury,-,5A,148,90,0,7,245
Tewksbury,-,7,945,957,1,34,"1,937"
TOTALS,,,"11,812","7,738",17,400,"19,967"
