City/Town,Ward,Pct,"Rady Mom","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lowell,1,1A,0,0,0,0
Lowell,4,3,176,7,64,247
Lowell,4,4A,1,0,1,2
Lowell,5,1A,100,1,15,116
Lowell,6,1,383,23,146,552
Lowell,6,2,228,19,97,344
Lowell,6,3A,42,6,20,68
Lowell,6,4,285,15,94,394
Lowell,7,1,302,16,100,418
Lowell,7,2,245,17,99,361
Lowell,7,3,326,16,101,443
Lowell,7,4,178,14,76,268
Lowell,8,1,415,11,139,565
Lowell,8,2,392,18,103,513
Lowell,8,3,754,29,304,"1,087"
Lowell,8,4,607,33,206,846
TOTALS,,,"4,434",225,"1,565","6,224"
