City/Town,Ward,Pct,"David A. Robertson","Paul Sarnowski","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Tewksbury,-,2,948,771,0,43,"1,762"
Tewksbury,-,4,883,640,2,52,"1,577"
Tewksbury,-,5,830,648,1,46,"1,525"
Tewksbury,-,6,814,775,0,42,"1,631"
Tewksbury,-,8,937,721,0,49,"1,707"
Wilmington,-,1,"1,081",698,0,40,"1,819"
Wilmington,-,2,985,722,4,53,"1,764"
Wilmington,-,3,885,737,1,58,"1,681"
Wilmington,-,4,998,739,1,41,"1,779"
Wilmington,-,5,901,680,3,56,"1,640"
Wilmington,-,6,986,824,2,52,"1,864"
TOTALS,,,"10,248","7,955",14,532,"18,749"
