City/Town,Ward,Pct,"Jeffrey Rosario Turco","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Revere,1,1,539,20,202,761
Revere,1,2,499,22,195,716
Revere,2,1,330,11,110,451
Revere,2,2,390,19,134,543
Revere,2,3A,24,0,10,34
Revere,5,1,702,19,374,"1,095"
Revere,5,2,470,24,193,687
Revere,5,3,350,18,132,500
Winthrop,-,1,771,35,360,"1,166"
Winthrop,-,2,818,55,348,"1,221"
Winthrop,-,3,739,38,290,"1,067"
Winthrop,-,4,632,35,250,917
Winthrop,-,5,796,38,426,"1,260"
Winthrop,-,6,743,51,309,"1,103"
TOTALS,,,"7,803",385,"3,333","11,521"
