City/Town,Ward,Pct,"Christopher Richard Flanagan","Tracy A. Post","Abraham Kasparian, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled
Brewster,-,1,"1,268",790,34,0,48,"2,140"
Brewster,-,2,"1,168",657,24,0,53,"1,902"
Brewster,-,3,"1,154",732,29,0,39,"1,954"
Dennis,-,1,997,969,25,0,35,"2,026"
Dennis,-,2,"1,106",926,30,0,37,"2,099"
Dennis,-,3,691,463,25,3,21,"1,203"
Dennis,-,4,908,814,35,0,30,"1,787"
Dennis,-,5,802,650,27,0,20,"1,499"
Yarmouth,-,1,902,864,29,6,36,"1,837"
Yarmouth,-,2,789,829,30,5,34,"1,687"
Yarmouth,-,3,533,552,45,1,14,"1,145"
Yarmouth,-,4,690,686,53,0,30,"1,459"
Yarmouth,-,7,926,933,41,2,39,"1,941"
Yarmouth,-,8,520,524,20,0,21,"1,085"
TOTALS,,,"12,454","10,389",447,17,457,"23,764"
