City/Town,Ward,Pct,"Adrian C. Madaro","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,1,611,15,113,739
Boston,1,2,397,12,85,494
Boston,1,3,"1,147",14,237,"1,398"
Boston,1,4,404,7,95,506
Boston,1,5,499,7,111,617
Boston,1,6,395,5,90,490
Boston,1,7,430,12,88,530
Boston,1,8,517,13,107,637
Boston,1,9,397,15,71,483
Boston,1,10,239,9,48,296
Boston,1,11,555,18,136,709
Boston,1,12,504,22,154,680
Boston,1,13,639,11,188,838
Boston,1,14,288,5,117,410
Boston,6,12A,0,0,0,0
TOTALS,,,"7,022",165,"1,640","8,827"
