City/Town,Ward,Pct,"Kimberly N. Ferguson","All Others",Blanks,"Total Votes Cast"
,,,Republican
Holden,-,1,"1,181",12,378,"1,571"
Holden,-,2,"1,123",12,369,"1,504"
Holden,-,3,"1,208",5,377,"1,590"
Holden,-,4,"1,193",2,372,"1,567"
Holden,-,5,"1,147",12,434,"1,593"
Holden,-,6,"1,206",5,378,"1,589"
Paxton,,,"1,606",16,592,"2,214"
Princeton,,,"1,368",33,559,"1,960"
Rutland,-,1,"1,139",0,303,"1,442"
Rutland,-,2,"1,004",0,249,"1,253"
Rutland,-,3,"1,177",0,317,"1,494"
Westminster,-,1,997,5,312,"1,314"
Westminster,-,2,774,0,255,"1,029"
Westminster,-,2A,299,0,76,375
Westminster,-,3,920,3,304,"1,227"
TOTALS,,,"16,342",105,"5,275","21,722"
