City/Town,Ward,Pct,"Marjorie C. Decker","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Cambridge,3,3A,356,3,58,417
Cambridge,4,2,968,1,167,"1,136"
Cambridge,4,2A,156,2,29,187
Cambridge,4,3,"1,096",3,185,"1,284"
Cambridge,6,2,643,7,108,758
Cambridge,6,3,"1,254",6,250,"1,510"
Cambridge,7,1,"1,144",4,168,"1,316"
Cambridge,7,2,730,4,161,895
Cambridge,7,2A,29,0,5,34
Cambridge,7,3,290,1,47,338
Cambridge,8,1,"1,024",4,154,"1,182"
Cambridge,8,2,"1,014",6,189,"1,209"
Cambridge,8,3,259,5,39,303
Cambridge,10,1A,559,4,106,669
Cambridge,10,2,"1,496",6,231,"1,733"
TOTALS,,,"11,018",56,"1,897","12,971"
