City/Town,Ward,Pct,"Mike Connolly","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Cambridge,1,3,924,7,159,"1,090"
Cambridge,2,1,987,8,163,"1,158"
Cambridge,2,2,863,11,213,"1,087"
Cambridge,2,3A,79,0,18,97
Cambridge,3,1,686,6,150,842
Cambridge,3,2,962,6,158,"1,126"
Cambridge,3,3,613,4,110,727
Cambridge,4,1,"1,189",3,244,"1,436"
Cambridge,5,1,993,2,195,"1,190"
Cambridge,5,3,"1,006",6,159,"1,171"
Cambridge,6,1,929,3,162,"1,094"
Cambridge,6,1A,295,2,51,348
Somerville,1,1,658,18,128,804
Somerville,1,2,471,13,207,691
Somerville,1,3,423,14,271,708
Somerville,1,4,376,7,80,463
Somerville,2,1A,260,1,38,299
TOTALS,,,"11,714",111,"2,506","14,331"
