City/Town,Ward,Pct,"Kip A. Diggs","William Buffington Peters","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Barnstable,-,1,"1,340",750,2,46,"2,138"
Barnstable,-,2,"1,160",753,3,44,"1,960"
Barnstable,-,3,843,447,2,22,"1,314"
Barnstable,-,4,"1,145",640,0,34,"1,819"
Barnstable,-,5,"1,246",898,1,39,"2,184"
Barnstable,-,6,"1,135",747,2,23,"1,907"
Barnstable,-,7,"1,366",822,0,47,"2,235"
Barnstable,-,8,659,370,2,10,"1,041"
Barnstable,-,9,362,199,0,10,571
Barnstable,-,13,672,409,1,32,"1,114"
Yarmouth,-,5,774,514,3,19,"1,310"
Yarmouth,-,6,848,473,2,33,"1,356"
Yarmouth,-,8A,114,76,0,4,194
TOTALS,,,"11,664","7,098",18,363,"19,143"
