City/Town,Ward,Pct,"Tricia Farley-Bouvier","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Pittsfield,1,A,531,1,150,682
Pittsfield,1,B,841,4,270,"1,115"
Pittsfield,2,A,358,2,88,448
Pittsfield,2,B,813,1,266,"1,080"
Pittsfield,3,A,932,6,266,"1,204"
Pittsfield,3,B,990,7,314,"1,311"
Pittsfield,4,A,972,6,277,"1,255"
Pittsfield,4,B,"1,146",11,398,"1,555"
Pittsfield,5,A,782,9,218,"1,009"
Pittsfield,5,B,853,9,257,"1,119"
Pittsfield,6,A,835,7,212,"1,054"
Pittsfield,6,B,596,3,153,752
Pittsfield,7,A,456,4,149,609
Pittsfield,7,B,778,4,259,"1,041"
TOTALS,,,"10,883",74,"3,277","14,234"
