City/Town,Ward,Pct,"Kristin E. Kassner","Leonard Mirra","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Georgetown,-,1,533,873,0,31,"1,437"
Georgetown,-,2,530,743,0,23,"1,296"
Georgetown,-,3,509,765,1,35,"1,310"
Hamilton,-,1,"1,041",774,1,61,"1,877"
Hamilton,-,2,"1,048",743,0,63,"1,854"
Ipswich,-,1,"1,113",613,2,42,"1,770"
Ipswich,-,2,"1,092",779,0,49,"1,920"
Ipswich,-,3,925,920,0,43,"1,888"
Ipswich,-,4,"1,028",813,0,52,"1,893"
Newbury,-,1,968,966,0,57,"1,991"
Newbury,-,2,907,"1,021",1,43,"1,972"
Rowley,,,"1,294","1,834",0,78,"3,206"
Topsfield,,,775,918,0,61,"1,754"
TOTALS,,,"11,763","11,762",5,638,"24,168"
