City/Town,Ward,Pct,"Susannah M. Whipps","Jeffrey L. Raymond","Kevin Patrick McKeown (W)","All Others",Blanks,"Total Votes Cast"
,,,Unenrolled,Republican,Unenrolled
Athol,-,1,868,434,36,3,30,"1,371"
Athol,-,2,678,446,41,2,22,"1,189"
Athol,-,3,733,327,35,2,31,"1,128"
Erving,,,392,191,42,1,36,662
Gill,,,436,181,102,3,56,778
Greenfield,-,1,500,244,46,2,67,859
Greenfield,-,2,680,225,47,1,79,"1,032"
Greenfield,-,3,547,195,59,1,77,879
Greenfield,-,4,581,172,54,1,83,891
Greenfield,-,9,298,112,18,0,59,487
Northfield,,,868,389,112,2,92,"1,463"
Orange,-,1,801,452,31,1,63,"1,348"
Orange,-,2,855,415,32,2,51,"1,355"
Phillipston,,,414,357,21,0,17,809
Royalston,,,413,182,15,1,22,633
Warwick,,,290,77,20,0,16,403
Winchendon,,,443,493,25,2,36,999
TOTALS,,,"9,797","4,892",736,24,837,"16,286"
