City/Town,Ward,Pct,"Brian M. Ashe","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"E. Longmeadow",-,2,899,28,308,"1,235"
"E. Longmeadow",-,3,"1,016",36,316,"1,368"
"E. Longmeadow",-,4,840,23,356,"1,219"
"E. Longmeadow",-,5,952,39,443,"1,434"
Hampden,,,"1,636",21,695,"2,352"
Longmeadow,-,A,"1,182",41,303,"1,526"
Longmeadow,-,B,"1,103",35,264,"1,402"
Longmeadow,-,C,"1,156",38,338,"1,532"
Longmeadow,-,D,"1,137",19,319,"1,475"
Longmeadow,-,E,"1,108",23,268,"1,399"
Monson,-,B,795,0,426,"1,221"
Monson,-,C,839,0,448,"1,287"
Springfield,6,C,375,16,102,493
Springfield,6,D,632,30,162,824
TOTALS,,,"13,670",349,"4,748","18,767"
