City/Town,Ward,Pct,"Colleen M. Garry","George Derek Boag","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Dracut,-,1,687,425,0,29,"1,141"
Dracut,-,2,676,380,0,30,"1,086"
Dracut,-,3,823,437,0,42,"1,302"
Dracut,-,4,839,661,0,70,"1,570"
Dracut,-,5,699,550,0,35,"1,284"
Dracut,-,6,726,435,0,37,"1,198"
Dracut,-,6A,43,19,0,6,68
Dracut,-,7,680,419,0,38,"1,137"
Dracut,-,8,911,712,0,51,"1,674"
Dracut,-,9,774,506,0,34,"1,314"
Tyngsborough,-,1,781,515,0,39,"1,335"
Tyngsborough,-,2,718,464,0,53,"1,235"
Tyngsborough,-,3,695,406,0,57,"1,158"
Tyngsborough,-,4,973,577,0,60,"1,610"
TOTALS,,,"10,025","6,506",0,581,"17,112"
