City/Town,Ward,Pct,"David T. Vieira","Kathleen Fox Alfano","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Bourne,-,4,795,817,0,57,"1,669"
Bourne,-,5,681,572,0,51,"1,304"
Bourne,-,6,586,583,0,39,"1,208"
Falmouth,-,3,"1,020",778,2,69,"1,869"
Falmouth,-,4,"1,161",750,0,64,"1,975"
Falmouth,-,5,"1,153",980,2,68,"2,203"
Falmouth,-,7,"1,046",776,2,52,"1,876"
Falmouth,-,8,"1,070",735,0,67,"1,872"
Falmouth,-,9,958,668,0,42,"1,668"
Mashpee,-,1,832,827,0,48,"1,707"
Mashpee,-,2,766,589,0,43,"1,398"
Mashpee,-,3,747,570,0,27,"1,344"
Mashpee,-,4,684,658,0,34,"1,376"
Mashpee,-,5,"1,216",924,1,74,"2,215"
TOTALS,,,"12,715","10,227",7,735,"23,684"
