City/Town,Ward,Pct,"Michael P. Kushmerek","Aaron L. Packard","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Fitchburg,1,A,404,213,0,24,641
Fitchburg,1,B,498,247,3,37,785
Fitchburg,2,A,370,212,0,25,607
Fitchburg,2,B,524,318,1,21,864
Fitchburg,3,A,867,507,0,80,"1,454"
Fitchburg,3,B,564,380,0,34,978
Fitchburg,4,A,363,200,1,23,587
Fitchburg,4,B,362,147,0,64,573
Fitchburg,5,A,818,597,0,56,"1,471"
Fitchburg,5,B,300,146,1,12,459
Fitchburg,6,A,658,426,0,47,"1,131"
Fitchburg,6,B,391,204,1,40,636
Lunenburg,-,B,700,456,0,38,"1,194"
Lunenburg,-,C1,5,5,0,0,10
TOTALS,,,"6,824","4,058",7,501,"11,390"
