City/Town,Ward,Pct,"Natalie Higgins","John M. Dombrowski","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Leominster,1,A,567,650,4,56,"1,277"
Leominster,1,B,635,490,3,64,"1,192"
Leominster,1,C,449,369,0,36,854
Leominster,2,A,321,206,2,24,553
Leominster,2,B,448,378,0,49,875
Leominster,2,C,244,212,0,35,491
Leominster,3,A,516,382,0,45,943
Leominster,3,B,630,603,1,75,"1,309"
Leominster,3,C,509,499,0,57,"1,065"
Leominster,4,A,540,683,1,63,"1,287"
Leominster,4,B,542,604,0,55,"1,201"
Leominster,4,C,430,340,0,43,813
Leominster,5,A,457,342,0,34,833
Leominster,5,B,524,487,0,49,"1,060"
Leominster,5,C,381,265,0,52,698
TOTALS,,,"7,193","6,510",11,737,"14,451"
