City/Town,Ward,Pct,"Mark J. Cusack","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Braintree,-,1A,874,23,418,"1,315"
Braintree,-,1B,708,32,418,"1,158"
Braintree,-,2A,918,35,386,"1,339"
Braintree,-,2B,813,34,445,"1,292"
Braintree,-,3A,722,20,325,"1,067"
Braintree,-,3B,779,26,350,"1,155"
Braintree,-,4A,770,30,369,"1,169"
Braintree,-,4B,740,18,295,"1,053"
Braintree,-,5A,780,27,442,"1,249"
Braintree,-,5B,889,27,433,"1,349"
Braintree,-,6A,970,31,486,"1,487"
Braintree,-,6B,953,27,446,"1,426"
Holbrook,-,1,685,22,237,944
Holbrook,-,2,708,24,356,"1,088"
TOTALS,,,"11,309",376,"5,406","17,091"
