City/Town,Ward,Pct,"Jerald A. Parisella","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Beverly,1,1,"1,023",12,283,"1,318"
Beverly,1,2,"1,367",26,370,"1,763"
Beverly,2,1,"1,121",11,246,"1,378"
Beverly,2,2,"1,226",20,274,"1,520"
Beverly,3,1,759,8,137,904
Beverly,3,2,"1,081",15,274,"1,370"
Beverly,4,1,689,5,171,865
Beverly,4,2,"1,619",20,356,"1,995"
Beverly,5,1,"1,265",14,324,"1,603"
Beverly,5,2,"1,108",6,310,"1,424"
Beverly,6,1,"1,417",17,382,"1,816"
Beverly,6,2,"1,467",14,436,"1,917"
Wenham,,,524,15,201,740
TOTALS,,,"14,666",183,"3,764","18,613"
