City/Town,Ward,Pct,"Michael J. Finn","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Agawam,,,792,29,345,"1,166"
Chicopee,2,A,403,13,98,514
Chicopee,3,A,503,22,200,725
Chicopee,4,A,559,26,200,785
"W. Springfield",-,1,274,5,96,375
"W. Springfield",-,2,422,6,128,556
"W. Springfield",-,3,712,6,248,966
"W. Springfield",-,4,802,6,255,"1,063"
"W. Springfield",-,5,"1,158",12,456,"1,626"
"W. Springfield",-,6,995,24,452,"1,471"
"W. Springfield",-,7,962,11,471,"1,444"
"W. Springfield",-,8,751,5,301,"1,057"
Westfield,2,A1,31,1,8,40
Westfield,6,B,691,14,344,"1,049"
TOTALS,,,"9,055",180,"3,602","12,837"
