City/Town,Ward,Pct,"William C. Galvin","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Avon,,,"1,214",9,442,"1,665"
Canton,-,1,"1,023",15,279,"1,317"
Canton,-,2,"1,404",14,380,"1,798"
Canton,-,3,836,3,252,"1,091"
Canton,-,4,"1,171",7,414,"1,592"
Canton,-,5,"1,248",6,412,"1,666"
Canton,-,6,"1,091",10,289,"1,390"
Canton,-,7,"1,192",14,330,"1,536"
Stoughton,-,1,916,6,333,"1,255"
Stoughton,-,2A,128,0,34,162
Stoughton,-,4A,76,1,26,103
Stoughton,-,5,844,15,292,"1,151"
Stoughton,-,7,994,7,236,"1,237"
Stoughton,-,8,641,6,190,837
TOTALS,,,"12,778",113,"3,909","16,800"
