City/Town,Ward,Pct,"Alan Silvia","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"Fall River",1,B,487,14,190,691
"Fall River",1,C,515,20,192,727
"Fall River",2,A,344,18,85,447
"Fall River",2,B,292,18,107,417
"Fall River",2,C,358,17,155,530
"Fall River",3,A,533,14,143,690
"Fall River",3,B,481,13,160,654
"Fall River",3,C,579,19,195,793
"Fall River",4,A,372,15,102,489
"Fall River",4,B,280,14,72,366
"Fall River",4,C,395,8,95,498
"Fall River",5,A,250,9,65,324
TOTALS,,,"4,886",179,"1,561","6,626"
