City/Town,Ward,Pct,"Paul Schmid, III","Evan Gendreau","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Acushnet,-,2,537,687,4,41,"1,269"
Acushnet,-,3,659,800,2,43,"1,504"
"Fall River",1,A,558,438,3,25,"1,024"
"Fall River",6,A,440,364,1,44,849
"Fall River",6,B,341,167,0,18,526
Freetown,-,2,608,660,0,34,"1,302"
Freetown,-,3,591,644,1,30,"1,266"
"New Bedford",1,B1,55,25,0,9,89
"New Bedford",1,C,338,276,1,26,641
Westport,-,A,719,628,0,23,"1,370"
Westport,-,B,"1,108",710,0,49,"1,867"
Westport,-,C,684,633,0,14,"1,331"
Westport,-,D,718,589,0,24,"1,331"
Westport,-,E,"1,081",705,0,38,"1,824"
TOTALS,,,"8,437","7,326",12,418,"16,193"
