City/Town,Ward,Pct,"Shirley B. Arriaga","Sean Goonan","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Chicopee,1,A,641,319,8,40,"1,008"
Chicopee,1,B,774,395,3,66,"1,238"
Chicopee,2,B,616,324,8,62,"1,010"
Chicopee,4,B,428,233,3,53,717
Chicopee,5,A,560,294,4,65,923
Chicopee,5,B,478,321,2,46,847
Chicopee,6,AN,266,124,0,24,414
Chicopee,6,AS,417,252,0,45,714
Chicopee,6,BE,642,383,5,84,"1,114"
Chicopee,6,BW,108,77,1,14,200
Chicopee,7,A,382,176,1,24,583
Chicopee,7,B,437,184,4,42,667
Chicopee,8,A,622,317,5,48,992
Chicopee,8,B,485,313,9,50,857
Chicopee,9,A,596,321,5,56,978
Chicopee,9,B,677,387,7,56,"1,127"
TOTALS,,,"8,129","4,420",65,775,"13,389"
