City/Town,Ward,Pct,"Jay D. Livingstone","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,3,5,695,11,186,892
Boston,3,9,483,9,138,630
Boston,3,17,532,8,123,663
Boston,4,6,518,8,160,686
Boston,4,7,435,10,96,541
Boston,4,8,375,9,130,514
Boston,4,11,29,0,6,35
Boston,4,12,133,3,26,162
Boston,5,2,507,8,93,608
Boston,5,3,929,19,199,"1,147"
Boston,5,4,506,5,65,576
Boston,5,5,653,15,182,850
Boston,5,6,682,21,235,938
Boston,5,7,876,7,250,"1,133"
Boston,5,8,789,16,218,"1,023"
Boston,5,9,775,25,190,990
Boston,5,11,344,6,61,411
Boston,5,15,440,5,99,544
TOTALS,,,"9,701",185,"2,457","12,343"
