City/Town,Ward,Pct,"Michael J. Soter","All Others",Blanks,"Total Votes Cast"
,,,Republican
Bellingham,-,1,905,38,279,"1,222"
Bellingham,-,2,"1,141",19,345,"1,505"
Bellingham,-,3,"1,155",25,338,"1,518"
Bellingham,-,4,"1,028",20,262,"1,310"
Bellingham,-,5,916,30,235,"1,181"
Blackstone,-,1,779,6,197,982
Blackstone,-,2,887,5,237,"1,129"
Blackstone,-,3,984,2,270,"1,256"
Medway,,,956,29,467,"1,452"
Millville,,,993,0,217,"1,210"
Uxbridge,-,1A,112,9,23,144
Uxbridge,-,2,"1,004",18,358,"1,380"
Uxbridge,-,3,"1,162",30,344,"1,536"
Uxbridge,-,4,"1,160",20,421,"1,601"
TOTALS,,,"13,182",251,"3,993","17,426"
