City/Town,Ward,Pct,"Donald H. Wong","All Others",Blanks,"Total Votes Cast"
,,,Republican
Lynn,1,1,"1,197",21,504,"1,722"
Lynn,1,2,808,21,384,"1,213"
Saugus,-,1,805,0,240,"1,045"
Saugus,-,2,742,0,218,960
Saugus,-,4,756,0,249,"1,005"
Saugus,-,5,952,0,237,"1,189"
Saugus,-,6,781,0,220,"1,001"
Saugus,-,7,922,0,230,"1,152"
Saugus,-,8,817,0,223,"1,040"
Saugus,-,9,924,0,236,"1,160"
Wakefield,-,1,"1,235",13,397,"1,645"
Wakefield,-,2,"1,081",35,454,"1,570"
Wakefield,-,3,"1,322",22,500,"1,844"
Wakefield,-,7,"1,322",21,512,"1,855"
TOTALS,,,"13,664",133,"4,604","18,401"
