City/Town,Ward,Pct,"Gerard J. Cassidy","Lawrence P. Novak","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Brockton,1,B,674,207,14,47,942
Brockton,1,C,524,194,3,34,755
Brockton,1,D,849,324,0,63,"1,236"
Brockton,3,C,744,302,3,54,"1,103"
Brockton,3,D,731,336,0,44,"1,111"
"E. Bridgewater",,,687,732,1,68,"1,488"
Easton,-,1,"1,029",640,0,113,"1,782"
Easton,-,2,950,547,2,112,"1,611"
Easton,-,3,378,258,0,43,679
Easton,-,4B,464,374,0,72,910
Easton,-,7,817,569,0,68,"1,454"
"W. Bridgewater",-,1,734,782,0,95,"1,611"
"W. Bridgewater",-,2,776,807,2,83,"1,668"
TOTALS,,,"9,357","6,072",25,896,"16,350"
