City/Town,Ward,Pct,"Michael J. Rodrigues","Russell T. Protentis","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
"Fall River",1,A,579,408,1,36,"1,024"
"Fall River",1,B,408,255,0,28,691
"Fall River",1,C,411,279,2,35,727
"Fall River",2,A,269,160,0,18,447
"Fall River",2,B,246,158,0,13,417
"Fall River",2,C,307,177,0,46,530
"Fall River",3,A,437,218,0,35,690
"Fall River",3,B,396,229,0,29,654
"Fall River",3,C,474,292,0,27,793
"Fall River",4,A,320,146,2,21,489
"Fall River",4,B,227,120,1,18,366
"Fall River",4,C,360,112,0,26,498
"Fall River",5,A,209,101,0,14,324
"Fall River",5,B,210,78,0,12,300
"Fall River",5,C,252,118,0,21,391
"Fall River",6,A,491,320,3,35,849
"Fall River",6,B,347,158,0,21,526
"Fall River",6,C,361,222,4,39,626
"Fall River",7,A,538,274,0,28,840
"Fall River",7,B,329,147,1,16,493
"Fall River",7,C,415,197,0,27,639
"Fall River",8,A,385,201,1,39,626
"Fall River",8,B,691,309,1,56,"1,057"
"Fall River",8,C,638,341,0,38,"1,017"
"Fall River",9,A,846,466,1,79,"1,392"
"Fall River",9,B,639,324,0,49,"1,012"
"Fall River",9,C,530,296,0,30,856
Freetown,-,1,611,616,3,47,"1,277"
Freetown,-,2,588,679,1,34,"1,302"
Freetown,-,3,547,683,0,36,"1,266"
Lakeville,-,1,735,"1,005",2,77,"1,819"
Lakeville,-,2,815,"1,044",2,86,"1,947"
Lakeville,-,3,758,961,2,63,"1,784"
Rochester,,,"1,218","1,576",1,94,"2,889"
Somerset,-,1,985,625,0,43,"1,653"
Somerset,-,2,936,602,0,59,"1,597"
Somerset,-,3,960,571,1,58,"1,590"
Somerset,-,4,842,579,0,56,"1,477"
Somerset,-,5,775,604,0,45,"1,424"
Swansea,-,1,640,691,2,30,"1,363"
Swansea,-,2,775,543,1,42,"1,361"
Swansea,-,3,784,562,0,34,"1,380"
Swansea,-,4,735,654,1,29,"1,419"
Swansea,-,5,679,713,1,36,"1,429"
Westport,-,A,798,535,0,37,"1,370"
Westport,-,B,"1,185",620,0,62,"1,867"
Westport,-,C,781,525,0,25,"1,331"
Westport,-,D,816,483,0,32,"1,331"
Westport,-,E,"1,142",623,0,59,"1,824"
TOTALS,,,"29,420","21,600",34,"1,920","52,974"
