City/Town,Ward,Pct,"Edward J. Kennedy, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Dracut,-,1,794,0,347,"1,141"
Dracut,-,2,741,0,345,"1,086"
Dracut,-,3,834,0,468,"1,302"
Dracut,-,4,947,0,623,"1,570"
Dracut,-,5,835,0,449,"1,284"
Dracut,-,6,784,0,414,"1,198"
Dracut,-,6A,50,0,18,68
Dracut,-,7,761,0,376,"1,137"
Dracut,-,8,"1,041",0,633,"1,674"
Dracut,-,9,880,0,434,"1,314"
Dunstable,,,"1,132",36,559,"1,727"
Lowell,1,1,456,20,138,614
Lowell,1,1A,0,0,0,0
Lowell,1,2,622,18,213,853
Lowell,1,3,792,43,257,"1,092"
Lowell,1,4,744,28,216,988
Lowell,2,1,337,13,125,475
Lowell,2,2,460,23,118,601
Lowell,2,3,601,30,183,814
Lowell,2,4,472,21,176,669
Lowell,3,1,428,20,116,564
Lowell,3,2,"1,246",50,469,"1,765"
Lowell,3,3,946,42,326,"1,314"
Lowell,3,4,571,22,189,782
Lowell,4,1,339,10,69,418
Lowell,4,2,638,11,111,760
Lowell,4,3,196,4,47,247
Lowell,4,3A,120,5,19,144
Lowell,4,4,348,23,124,495
Lowell,4,4A,2,0,0,2
Lowell,5,1,501,12,123,636
Lowell,5,1A,100,3,13,116
Lowell,5,2,453,19,118,590
Lowell,5,3,293,12,54,359
Lowell,5,4,594,31,152,777
Lowell,6,1,424,15,113,552
Lowell,6,2,269,5,70,344
Lowell,6,3,205,3,44,252
Lowell,6,3A,46,4,18,68
Lowell,6,4,292,14,88,394
Lowell,6,4A,104,3,31,138
Lowell,7,1,327,12,79,418
Lowell,7,2,289,12,60,361
Lowell,7,3,368,7,68,443
Lowell,7,4,201,8,59,268
Lowell,8,1,437,12,116,565
Lowell,8,2,401,9,103,513
Lowell,8,3,745,25,317,"1,087"
Lowell,8,4,615,33,198,846
Lowell,8,4A,27,1,2,30
Pepperell,-,1,836,34,406,"1,276"
Pepperell,-,2,"1,051",63,495,"1,609"
Pepperell,-,3,953,58,418,"1,429"
Pepperell,-,4,827,33,265,"1,125"
Tyngsborough,-,1,868,0,467,"1,335"
Tyngsborough,-,2,791,0,444,"1,235"
Tyngsborough,-,3,811,0,347,"1,158"
Tyngsborough,-,4,"1,058",0,552,"1,610"
TOTALS,,,"32,003",847,"12,782","45,632"
