City/Town,Ward,Pct,"Lydia Marie Edwards","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,1,51,3,0,54
Boston,1,2,19,2,0,21
Boston,1,3,54,5,0,59
Boston,1,4,16,0,0,16
Boston,1,5,28,1,0,29
Boston,1,6,25,0,0,25
Boston,1,7,23,0,0,23
Boston,1,8,27,0,0,27
Boston,1,9,15,0,0,15
Boston,1,10,5,0,0,5
Boston,1,11,36,2,1,39
Boston,1,12,37,5,0,42
Boston,1,13,31,2,0,33
Boston,1,14,9,3,0,12
Boston,3,1,76,3,2,81
Boston,3,2,34,4,0,38
Boston,3,3,42,0,0,42
Boston,3,4,39,3,0,42
Boston,3,6,49,0,0,49
Boston,3,8,81,4,0,85
Boston,5,1,59,3,0,62
Boston,5,3,34,0,1,35
Boston,5,4,36,0,1,37
Boston,5,5,7,0,0,7
Boston,5,11,34,0,0,34
Cambridge,2,2,1,0,0,1
Cambridge,2,3,19,0,1,20
Cambridge,4,1,79,0,0,79
Cambridge,4,3,10,0,0,10
Cambridge,5,1,85,1,2,88
Cambridge,5,2,95,1,0,96
Cambridge,5,3,76,1,1,78
Revere,1,1,17,1,0,18
Revere,1,2,15,3,0,18
Revere,1,3,8,2,0,10
Revere,2,1,8,0,0,8
Revere,2,2,25,5,3,33
Revere,2,3,3,0,0,3
Revere,2,3A,2,0,0,2
Revere,3,1,3,1,1,5
Revere,3,2,4,2,1,7
Revere,3,3,4,0,0,4
Revere,4,1,8,1,0,9
Revere,4,2,16,1,1,18
Revere,4,3,5,0,1,6
Revere,5,1,16,1,0,17
Revere,5,1A,38,2,4,44
Revere,5,2,8,0,0,8
Revere,5,2A,3,0,0,3
Revere,5,3,11,0,4,15
Revere,6,1,24,7,0,31
Revere,6,2,11,7,0,18
Revere,6,3,10,1,0,11
Winthrop,-,1,46,2,0,48
Winthrop,-,2,43,3,2,48
Winthrop,-,3,46,1,0,47
Winthrop,-,4,52,3,2,57
Winthrop,-,5,53,4,3,60
Winthrop,-,6,53,5,3,61
TOTALS,,,"1,764",95,34,"1,893"
